stdDay,23A_alpha,predicted_23A_alpha,23A_Infected,predicted_23A_Infected
2023-02-19,0.112579948,0.46626392,465.92,436.5954069
2023-02-20,0.317826129,0.431553334,460.4,440.4988219
2023-02-21,0.392139127,0.199931934,435.28,441.7843044
2023-02-22,0.31482197,0.38927713,417.68,419.2727677
2023-02-23,0.274132198,0.546744108,402.32,399.4911116
2023-02-24,0.325304683,0.468874544,384.8,399.5598004
2023-02-25,0.257483882,0.395736486,382.16,376.4225246
2023-02-26,0.250445729,0.496821791,373.84,400.8979435
2023-02-27,0.526353853,0.401395559,392.17,399.2443808
2023-02-28,0.670249394,0.301157534,418.82,437.9771639
2023-03-01,0.33400387,0.384224743,467.74,428.5531282
2023-03-02,0.43606326,0.766882002,478.61,510.5354589
2023-03-03,0.445374242,0.42991215,522.4,522.4031815
2023-03-04,0.371654133,0.493457049,570.2,568.6665731
2023-03-05,0.127408107,0.586411595,620.7,564.1369744
2023-03-06,0.373239935,0.556319773,614.1,630.7063996
2023-03-07,0.376661612,0.222262874,624,593.7284135
2023-03-08,0.308242003,0.449258655,603.3,637.4977623
2023-03-09,0.284331268,0.539423168,616.35,588.4707715
2023-03-10,0.306739903,0.454913646,601.2,594.0519087
2023-03-11,0.265988838,0.417163432,579.45,574.2759513
2023-03-12,0.230963385,0.470641881,553.5,602.0522141
2023-03-13,0.536522363,0.422171324,575.09,587.2052809
2023-03-14,0.625676408,0.28770712,610.11,636.3119034
2023-03-15,0.406145486,0.415364385,675.06,645.3576669
2023-03-16,0.386815955,0.717460096,714.06,717.290247
2023-03-17,0.356399205,0.520371497,758.73,749.8321727
2023-03-18,0.329651742,0.515517473,796.74,804.4686373
2023-03-19,0,0.502957344,844.77,743.1316787
2023-03-20,0.533320243,0.483927161,787.93,897.6264225
2023-03-21,0.41623369,0.144451916,837.23,773.7379806
2023-03-22,0.420840018,0.49676609,822.15,869.4197954
2023-03-23,0.288151545,0.524947464,853.76,809.0246433
2023-03-24,0.298354407,0.572085083,840.13,844.6241491
2023-03-25,0.307961279,0.415041804,831.14,836.9054955
2023-03-26,0.193190492,0.437107742,827.95,902.2529387
2023-03-27,0.535103143,0.491126806,898.79,852.3705593
2023-03-28,0.559240555,0.273813754,925.3,971.165276
2023-03-29,0.35867495,0.45511052,999.81,930.1957672
2023-03-30,0.347561514,0.696994364,1005.1,1045.090421
2023-03-31,0.34940597,0.477493912,1050.62,1054.186902
2023-04-01,0.258644056,0.474381447,1101.93,1062.680968
2023-04-02,0.140012632,0.525019944,1114.58,1100.110883
2023-04-03,0.428256021,0.418433338,1112.74,1112.276197
2023-04-04,0.428340048,0.231620103,1110.44,1093.840936
2023-04-05,0.416801304,0.462210178,1091.58,1153.491193
2023-04-06,0.286558153,0.531892776,1133.9,1080.952041
2023-04-07,0.349736785,0.584709823,1122.86,1145.048546
2023-04-08,0.299557633,0.401846468,1133.9,1146.547108
2023-04-09,0.136972554,0.505629838,1157.82,1134.87934
2023-04-10,0.42154746,0.478328556,1158.82,1162.735754
2023-04-11,0.475495782,0.234643936,1163.74,1192.61651
2023-04-12,0.418699117,0.420038074,1197.68,1183.348137
2023-04-13,0.393103745,0.573351264,1217.86,1264.159865
2023-04-14,0.3833968,0.532921672,1285.46,1259.413482
2023-04-15,0.327835015,0.512485504,1329.32,1326.19028
2023-04-16,0.112124723,0.536037087,1371.44,1327.148795
2023-04-17,0.433489744,0.508703411,1369.2,1417.435125
2023-04-18,0.506703249,0.216557875,1415.12,1438.554017
2023-04-19,0.414882381,0.400125206,1486.8,1463.090169
2023-04-20,0.413828039,0.602637231,1537.2,1553.421639
2023-04-21,0.399385823,0.516499162,1606.08,1599.374059
2023-04-22,0.358088633,0.321809888,1671.04,1746.479515
2023-04-23,0.139521153,0.304415554,1742.16,1792.941061
2023-04-24,0.467439351,0.329764187,1781.28,1963.200422
2023-04-25,0.483394353,0.373818278,1885.84,1953.23176
2023-04-26,0.422870758,0.478194863,1970.64,1914.475903
2023-04-27,0.395214112,0.37477982,2065.12,2002.590819
2023-04-28,0.472050989,0.32540679,2143.52,1985.640223
2023-04-29,0.359384118,0.362017006,2305.44,1911.691587
2023-04-30,0.104330269,0.383370221,2405.76,1894.658732
2023-05-01,0.402881818,0.388322324,2408.96,2129.048157
2023-05-02,0.517562698,0.375510693,2468.48,2168.058824
2023-05-03,0.500924496,0.417622745,2627.84,2173.030433
2023-05-04,0,0.39909485,2838.4,2267.851661
