stdDay,23A_alpha,predicted_23A_alpha,23A_Infected,predicted_23A_Infected
2023-02-19,0.161677538,0.238114357,1510.88,1385.64332
2023-02-20,0.428912795,0.245404154,1503.84,1487.410644
2023-02-21,0.455530024,0.363015056,1480.48,1499.126787
2023-02-22,0.386762957,0.249683335,1475.84,1469.084284
2023-02-23,0.347243947,0.331180751,1464.48,1453.588725
2023-02-24,0.340528071,0.348751456,1442.4,1448.15385
2023-02-25,0.338496827,0.315405816,1426.32,1431.882753
2023-02-26,0.289581785,0.396367013,1415.92,1491.233315
2023-02-27,0.737196396,0.382545471,1480.36,1581.867553
2023-02-28,0.743380813,0.378465086,1653.86,1673.557068
2023-03-01,0.423357984,0.399016976,1869.7,1729.410186
2023-03-02,0.534061688,0.334715843,1955.11,2068.890743
2023-03-03,0.544253122,0.389569223,2163.4,2196.331208
2023-03-04,0.41299613,0.391214818,2430.32,2343.508266
2023-03-05,0.190063761,0.361801922,2632.65,2462.307005
2023-03-06,0.495897983,0.30465135,2667.3,2720.148378
2023-03-07,0.485715522,0.382923037,2755.95,2706.787596
2023-03-08,0.399075428,0.408224642,2796.75,2879.224996
2023-03-09,0.360532792,0.397594869,2921.85,2798.760088
2023-03-10,0.363895211,0.315767378,2923.95,2876.132858
2023-03-11,0.325166385,0.40073663,2878.2,2895.758904
2023-03-12,0.33693744,0.330687642,2850.45,3057.730937
2023-03-13,0.816656992,0.393541634,3028.25,3268.729358
2023-03-14,0.722297431,0.389181286,3472.62,3422.035341
2023-03-15,0.52952563,0.400380284,3924.19,3801.007401
2023-03-16,0.434340077,0.37965247,4295.28,4210.184961
2023-03-17,0.421775729,0.339490622,4608.32,4611.261284
2023-03-18,0.371854595,0.407007426,4947.33,4932.809039
2023-03-19,0.170803962,0.427055895,5295.69,4925.927061
2023-03-20,0.494838251,0.460688859,5272.78,5345.204206
2023-03-21,0.542346988,0.414017797,5322.08,5414.138313
2023-03-22,0.45585359,0.461439937,5464.76,5474.591314
2023-03-23,0.407196205,0.396981776,5621.36,5620.944329
2023-03-24,0.390259039,0.31851384,5782.02,5735.82846
2023-03-25,0.340849998,0.292501867,5899.76,5843.978335
2023-03-26,0.264996534,0.298573107,5962.98,6155.855757
2023-03-27,0.689528091,0.348843664,6221.82,6579.459946
2023-03-28,0.66227066,0.29839614,6865.06,6796.714769
2023-03-29,0.491833999,0.418900132,7499.39,7282.983923
2023-03-30,0.446281272,0.330147862,7955.93,7953.080694
2023-03-31,0.394515882,0.304067731,8437.24,8340.975875
2023-04-01,0.371492339,0.267862082,8845.58,8901.224388
2023-04-02,0.17795584,0.318627447,9332.02,8872.613369
2023-04-03,0.50457864,0.39403227,9360.54,9491.153665
2023-04-04,0.523854409,0.386603355,9520.16,9519.745164
2023-04-05,0.444787454,0.450149745,9682.08,9747.218168
2023-04-06,0.37142796,0.418885052,9913,9725.660592
2023-04-07,0.346790666,0.348270535,9957.62,9955.130364
2023-04-08,0.338293993,0.403373837,9999.94,9989.225676
2023-04-09,0.186601198,0.338984191,10031.68,10077.71315
2023-04-10,0.539086958,0.447067022,10109.7,10299.63601
2023-04-11,0.583963652,0.421241671,10379.74,10501.29998
2023-04-12,0.463348514,0.245511845,10781.8,10626.21286
2023-04-13,0.463416993,0.336839348,11037.82,11309.646
2023-04-14,0.434466821,0.24714978,11578.2,11605.14538
2023-04-15,0.359835152,0.290674537,12173.3,11933.97382
2023-04-16,0.204634286,0.3305327,12547.36,12427.02361
2023-04-17,0.530630312,0.360622495,12808.88,13039.97266
2023-04-18,0.539612841,0.322760969,13311.76,13208.70285
2023-04-19,0.447568573,0.394543231,13727.28,13725.56333
2023-04-20,0.405632548,0.43061018,14154,13948.32858
2023-04-21,0.398068448,0.34500435,14381.92,14403.65976
2023-04-22,0.342657787,0.389861077,14635.6,14368.09115
2023-04-23,0.181787276,0.383991599,14867.44,14852.50601
2023-04-24,0.497788616,0.368717372,14913.52,16034.98164
2023-04-25,0.537156445,0.450393349,15137.44,15422.3637
2023-04-26,0.456621935,0.395523399,15481.84,14988.30489
2023-04-27,0.419041829,0.461943209,15819.44,14536.76842
2023-04-28,0.440078626,0.42005682,16143.28,14511.1896
2023-04-29,0.38300525,0.476318359,16652.24,14138.96287
2023-04-30,0.193550116,0.492063224,17155.84,14306.6895
2023-05-01,0.468683395,0.520356297,17383.04,16103.76235
2023-05-02,0.581472609,0.482454211,17640.32,16655.22073
2023-05-03,0.544938543,0.506393611,18423.04,16774.26521
2023-05-04,0,0.445780843,19523.2,17533.19486
