stdDay,23A_alpha,predicted_23A_alpha,23A_Infected,predicted_23A_Infected
2023-02-19,0.149052921,0.312292486,189.68,176.4242598
2023-02-20,0.314201363,0.401397347,184.64,180.2288735
2023-02-21,0.482629728,0.490055501,175.44,177.3992157
2023-02-22,0.411298489,0.494875759,168.56,173.6914286
2023-02-23,0.376991303,0.390446842,166.88,165.5702013
2023-02-24,0.333146393,0.471042067,163.92,162.1562128
2023-02-25,0.405856035,0.527221203,159.28,167.0485585
2023-02-26,0.260296408,0.528897524,162.32,164.5003647
2023-02-27,0.618542551,0.361996889,167.64,179.1968647
2023-02-28,0.727666166,0.58978498,185.07,184.8868018
2023-03-01,0.454846137,0.545347095,204.11,193.1488482
2023-03-02,0.458084925,0.384124368,213.02,216.7483011
2023-03-03,0.542494938,0.411210328,226.21,237.4945582
2023-03-04,0.416868921,0.497877479,252.2,240.0229818
2023-03-05,0.137867803,0.539540172,267.6,250.220852
2023-03-06,0.437645467,0.44085151,265.5,272.2867797
2023-03-07,0.513214031,0.48166585,270.15,266.8267629
2023-03-08,0.4603252,0.489275306,271.5,282.2395856
2023-03-09,0.471362243,0.466019541,283.65,284.5653094
2023-03-10,0.375881396,0.394665301,297.3,279.4997225
2023-03-11,0.378972423,0.518535674,292.95,299.4311828
2023-03-12,0.278746879,0.532974839,295.05,310.0474377
2023-03-13,0.651250939,0.406789392,312.27,326.2585743
2023-03-14,0.779034885,0.4854168,345.3,356.9626829
2023-03-15,0.517730927,0.525636375,394.72,371.5614157
2023-03-16,0.418507892,0.518085778,424.74,410.1188567
2023-03-17,0.492897677,0.526107371,441.31,463.2862305
2023-03-18,0.390253603,0.457535774,481.36,467.9338208
2023-03-19,0.202069235,0.476825446,510.4,488.7445
2023-03-20,0.415825251,0.533716142,518.23,514.6842753
2023-03-21,0.598382451,0.511716247,522.58,534.3348169
2023-03-22,0.501261608,0.436440378,538.82,546.4870506
2023-03-23,0.366865787,0.476034939,563.47,549.080597
2023-03-24,0.382866929,0.333183497,574.2,564.0391616
2023-03-25,0.304012116,0.39367801,574.78,568.9852674
2023-03-26,0.305348458,0.41408971,569.56,601.6540631
2023-03-27,0.599895752,0.515001118,596.19,620.6321039
2023-03-28,0.740057053,0.444675744,649.65,654.0882946
2023-03-29,0.557120512,0.333534271,712.74,693.0274497
2023-03-30,0.538592235,0.344380051,760.33,784.2267918
2023-03-31,0.491256796,0.378663719,836.59,825.5759278
2023-04-01,0.450026358,0.392134547,908.38,917.61687
2023-04-02,0.191177579,0.470595777,996.36,913.8319575
2023-04-03,0.491070056,0.495033443,1002.34,1046.200863
2023-04-04,0.648031997,0.544542134,1052.48,1073.747963
2023-04-05,0.463393519,0.476578176,1127.46,1095.850249
2023-04-06,0.356741217,0.541380703,1173.92,1130.110768
2023-04-07,0.348840263,0.488643497,1176.68,1173.002158
2023-04-08,0.332645159,0.458735764,1175.76,1169.314241
2023-04-09,0.184063081,0.369422853,1168.4,1184.695937
2023-04-10,0.407320974,0.466196924,1177.28,1162.822391
2023-04-11,0.580469587,0.443515986,1171.66,1175.390982
2023-04-12,0.432263326,0.463210732,1169.78,1164.508525
2023-04-13,0.477679682,0.39532578,1162.64,1220.529762
2023-04-14,0.489004524,0.423174828,1213.08,1227.48669
2023-04-15,0.337099446,0.455648005,1280.74,1226.851869
2023-04-16,0.226961069,0.507605016,1295.28,1309.533117
2023-04-17,0.438438823,0.477824152,1324.4,1331.427349
2023-04-18,0.619859383,0.542580485,1361.36,1382.693213
2023-04-19,0.457923063,0.547740161,1421.28,1412.317132
2023-04-20,0.434615703,0.465673447,1474.48,1450.96872
2023-04-21,0.428061554,0.444566578,1505.28,1492.033333
2023-04-22,0.35016523,0.448815495,1523.2,1518.955793
2023-04-23,0.212049812,0.429302096,1560.16,1611.506336
2023-04-24,0.445912883,0.401594967,1573.28,1755.096205
2023-04-25,0.587791068,0.411956906,1617.04,1768.027186
2023-04-26,0.427795641,0.391039461,1654.96,1661.98274
2023-04-27,0.419937115,0.386806071,1674.88,1612.84025
2023-04-28,0.489232716,0.355505735,1696.8,1551.263089
2023-04-29,0.388520427,0.426917642,1764.32,1456.196147
2023-04-30,0.257054907,0.446580827,1819.52,1445.409693
2023-05-01,0.354153162,0.416971594,1869.44,1586.275012
2023-05-02,0.537136371,0.519715667,1853.44,1609.495018
2023-05-03,0.567868059,0.556212187,1868.16,1611.931333
2023-05-04,0,0.506442308,1996.8,1716.002134
