,22D_origin,22D_Predicted
2023-02-19,470.87997,472.65726
2023-02-20,211.68001,210.75232
2023-02-21,590.4,591.35675
2023-02-22,688.32,695.1515
2023-02-23,529.92,525.52484
2023-02-24,444.24,448.29358
2023-02-25,504.0,506.7214
2023-02-26,396.0,401.49573
2023-02-27,186.93001,190.49861
2023-02-28,412.05,414.4576
2023-03-01,560.12,556.33246
2023-03-02,311.55,322.23923
2023-03-03,416.07,419.8226
2023-03-04,463.64,463.63882
2023-03-05,422.1,410.6115
2023-03-06,157.45,171.42325
2023-03-07,456.27002,454.7502
2023-03-08,467.65997,473.99734
2023-03-09,369.84,375.14212
2023-03-10,348.4,353.1944
2023-03-11,366.49,360.3711
2023-03-12,306.19,336.86975
2023-03-13,109.76,95.94417
2023-03-14,264.88,273.68176
2023-03-15,327.6,340.83868
2023-03-16,235.20001,229.95409
2023-03-17,236.87999,240.25853
2023-03-18,231.84001,247.12344
2023-03-19,225.12001,225.76141
2023-03-20,0.0,-0.34189978
2023-03-21,360.08,365.37558
2023-03-22,298.48,303.28738
2023-03-23,296.24,302.7693
2023-03-24,210.56001,217.27193
2023-03-25,214.48,220.58755
2023-03-26,218.95999,212.11935
2023-03-27,60.059998,68.36413
2023-03-28,180.56999,190.90994
2023-03-29,194.21999,194.08916
2023-03-30,134.55,145.13199
2023-03-31,131.04001,132.77509
2023-04-01,137.67,134.27031
2023-04-02,106.86,128.62555
2023-04-03,58.5,63.92787
2023-04-04,178.62001,168.594
2023-04-05,178.23,183.06757
2023-04-06,170.43,164.64636
2023-04-07,121.67999,140.602
2023-04-08,147.03,145.85191
2023-04-09,127.14001,119.86511
2023-04-10,32.5,39.36053
2023-04-11,100.1,98.388275
2023-04-12,113.36,123.58822
2023-04-13,102.7,108.76445
2023-04-14,98.020004,103.00816
2023-04-15,100.880005,105.311134
2023-04-16,89.18,91.95143
2023-04-17,31.460001,31.642105
2023-04-18,121.42,125.59782
2023-04-19,146.64,153.32155
2023-04-20,126.09999,138.84708
2023-04-21,130.0,133.5053
2023-04-22,131.04001,123.60052
2023-04-23,122.2,100.38203
2023-04-24,31.73,20.775566
2023-04-25,108.68,86.705574
2023-04-26,118.939995,118.4088
2023-04-27,108.68,112.12226
2023-04-28,106.4,108.80968
2023-04-29,131.86,99.90534
2023-04-30,107.92,104.185844
2023-05-01,32.68,27.602068
2023-05-02,126.35,120.444695
2023-05-03,166.25,146.61302
2023-05-04,171.19,130.16995
