,Alpha_origin,Alpha_Predicted
2021-06-13,0.96,0.9291482
2021-06-14,1.5600001,0.99360794
2021-06-15,0.35999998,0.7961209
2021-06-16,0.84000003,0.78506595
2021-06-17,0.6,0.89598954
2021-06-18,1.6800001,1.1633325
2021-06-19,1.32,1.2261776
2021-06-20,1.32,1.3398414
2021-06-21,1.5600001,1.5889558
2021-06-22,1.32,1.8280392
2021-06-23,2.16,2.2348769
2021-06-24,2.7599998,2.5131884
2021-06-25,2.0400002,2.264878
2021-06-26,1.4399999,1.937135
2021-06-27,1.6800001,1.7744931
2021-06-28,1.2,1.8467631
2021-06-29,1.8000001,1.8240802
2021-06-30,2.0400002,1.7690578
2021-07-01,1.2,1.6105984
2021-07-02,1.5600001,1.4918898
2021-07-03,1.2,1.4447235
2021-07-04,1.8000001,1.5113075
2021-07-05,1.32,1.3549099
2021-07-06,1.14,1.1361902
2021-07-07,0.90000004,0.86983365
2021-07-08,0.6,0.7855264
2021-07-09,1.02,1.1522769
2021-07-10,2.16,2.1985466
2021-07-11,4.02,3.589726
2021-07-12,2.3999999,4.3407035
2021-07-13,3.06,5.1056495
2021-07-14,5.34,6.2508707
2021-07-15,5.2799997,6.8692102
2021-07-16,4.8,6.8902354
2021-07-17,5.34,6.7017083
2021-07-18,5.94,5.813711
2021-07-19,2.22,3.654507
2021-07-20,1.71,2.5138116
2021-07-21,2.67,2.647482
2021-07-22,2.73,2.936255
2021-07-23,2.79,3.1616297
2021-07-24,3.33,3.5118155
2021-07-25,3.5700002,3.6087644
2021-07-26,2.3400002,3.4815757
2021-07-27,2.6399999,3.5489519
2021-07-28,2.94,3.612375
2021-07-29,2.7,3.459635
2021-07-30,2.9699998,3.2855647
2021-07-31,2.9699998,2.9279256
2021-08-01,2.52,2.2094076
2021-08-02,0.84000003,1.2523555
2021-08-03,0.71999997,0.79610723
2021-08-04,1.14,0.7071158
2021-08-05,0.82000005,0.584483
2021-08-06,0.98,0.6199164
2021-08-07,1.3100001,0.77314633
2021-08-08,1.1800001,0.8045595
2021-08-09,0.88000005,0.71545565
2021-08-10,1.1,0.817448
2021-08-11,1.4100001,0.85179615
2021-08-12,1.1,0.86043954
2021-08-13,1.2500001,0.9992819
2021-08-14,1.03,1.2216221
2021-08-15,0.93,1.4393208
