,23A_origin,23A_Predicted
2023-02-19,52.320004,51.921852
2023-02-20,23.52,31.241776
2023-02-21,65.6,71.48709
2023-02-22,76.479996,75.38978
2023-02-23,58.88,59.12881
2023-02-24,49.36,52.49117
2023-02-25,56.0,61.81145
2023-02-26,44.0,51.162308
2023-02-27,41.850002,41.471695
2023-02-28,92.25,94.12526
2023-03-01,125.399994,107.79678
2023-03-02,69.75,81.91178
2023-03-03,93.149994,79.3963
2023-03-04,103.799995,84.300865
2023-03-05,94.5,72.72979
2023-03-06,35.25,37.62115
2023-03-07,102.15,99.36942
2023-03-08,104.7,111.401764
2023-03-09,82.799995,83.87475
2023-03-10,77.99999,76.80283
2023-03-11,82.05,89.695496
2023-03-12,68.549995,72.406555
2023-03-13,56.84,47.248703
2023-03-14,137.17,136.80055
2023-03-15,169.65,164.21425
2023-03-16,121.8,119.049706
2023-03-17,122.67,128.40848
2023-03-18,120.06,123.617134
2023-03-19,116.579994,115.5514
2023-03-20,0.0,40.219288
2023-03-21,186.47,164.15077
2023-03-22,154.56999,158.3076
2023-03-23,153.40999,151.09375
2023-03-24,109.04,101.89955
2023-03-25,111.07,123.75266
2023-03-26,113.39,109.38037
2023-03-27,70.840004,63.220623
2023-03-28,212.98,197.91151
2023-03-29,229.08,212.4185
2023-03-30,158.7,163.4595
2023-03-31,154.56,154.97829
2023-04-01,162.38,151.51675
2023-04-02,126.04,134.83922
2023-04-03,69.0,61.75149
2023-04-04,210.68,209.27762
2023-04-05,210.22,208.89644
2023-04-06,201.02,197.21762
2023-04-07,143.52,146.3451
2023-04-08,173.42,174.43936
2023-04-09,149.95999,145.74309
2023-04-10,70.0,77.02665
2023-04-11,215.6,234.45166
2023-04-12,244.16,251.29004
2023-04-13,221.2,219.11244
2023-04-14,211.12,215.13623
2023-04-15,217.28,223.6174
2023-04-16,192.08,190.80898
2023-04-17,67.76,71.89674
2023-04-18,261.52002,264.34012
2023-04-19,315.84,317.78668
2023-04-20,271.6,274.18375
2023-04-21,280.0,273.22842
2023-04-22,282.24,282.37238
2023-04-23,263.2,266.07968
2023-04-24,106.880005,106.79722
2023-04-25,366.08,368.0459
2023-04-26,400.63998,402.1551
2023-04-27,366.08,368.62515
2023-04-28,358.4,350.1113
2023-04-29,444.16,381.1192
2023-04-30,363.52002,338.58862
2023-05-01,110.08,160.5926
2023-05-02,425.6,440.5162
2023-05-03,560.0,506.83383
2023-05-04,576.64,463.24008
