,Alpha_origin,Alpha_Predicted
2021-06-13,0.96,0.80224764
2021-06-14,1.5600001,1.3883566
2021-06-15,0.35999998,0.3171836
2021-06-16,0.84000003,0.8100017
2021-06-17,0.6,0.44684634
2021-06-18,1.6800001,1.6174676
2021-06-19,1.32,1.22244
2021-06-20,1.32,1.1953738
2021-06-21,1.5600001,1.6107773
2021-06-22,1.32,1.561121
2021-06-23,2.16,2.1891794
2021-06-24,2.7599998,2.4290469
2021-06-25,2.0400002,2.11952
2021-06-26,1.4399999,1.5311351
2021-06-27,1.6800001,1.8956671
2021-06-28,1.2,1.336001
2021-06-29,1.8000001,1.8480911
2021-06-30,2.0400002,2.0057673
2021-07-01,1.2,1.4193947
2021-07-02,1.5600001,1.8787571
2021-07-03,1.2,1.422612
2021-07-04,1.8000001,1.8071804
2021-07-05,1.32,1.4066725
2021-07-06,1.14,1.2215798
2021-07-07,0.90000004,0.8171648
2021-07-08,0.6,0.6993953
2021-07-09,1.02,1.0155535
2021-07-10,2.16,1.7611609
2021-07-11,4.02,3.6701272
2021-07-12,2.3999999,2.97385
2021-07-13,3.06,3.6533809
2021-07-14,5.34,5.745381
2021-07-15,5.2799997,5.757844
2021-07-16,4.8,5.736681
2021-07-17,5.34,5.835007
2021-07-18,5.94,6.4153857
2021-07-19,2.22,2.2926579
2021-07-20,1.71,2.007089
2021-07-21,2.67,2.7652678
2021-07-22,2.73,2.9514995
2021-07-23,2.79,3.1541393
2021-07-24,3.33,3.4685826
2021-07-25,3.5700002,3.5567422
2021-07-26,2.3400002,2.815215
2021-07-27,2.6399999,2.9550438
2021-07-28,2.94,3.101863
2021-07-29,2.7,2.9351566
2021-07-30,2.9699998,2.9087245
2021-07-31,2.9699998,3.0812285
2021-08-01,2.52,2.7051902
2021-08-02,0.84000003,0.997339
2021-08-03,0.71999997,0.8301122
2021-08-04,1.14,1.039602
2021-08-05,0.82000005,0.92967665
2021-08-06,0.98,1.1327405
2021-08-07,1.3100001,1.289719
2021-08-08,1.1800001,1.2764059
2021-08-09,0.88000005,1.0728267
2021-08-10,1.1,1.096863
2021-08-11,1.4100001,1.0439887
2021-08-12,1.1,0.90287405
2021-08-13,1.2500001,0.9607356
2021-08-14,1.03,1.0089836
2021-08-15,0.93,1.1079366
