,Delta_origin,Delta_Predicted
2021-06-13,37.44,37.735080128205134
2021-06-14,39.31,38.37338081912999
2021-06-15,40.29,40.35397369074212
2021-06-16,41.36,39.082079303675044
2021-06-17,40.12,40.93732801595214
2021-06-18,39.71000000000001,40.71609166456812
2021-06-19,40.3,40.557409429280405
2021-06-20,41.16000000000001,43.60937803692906
2021-06-21,44.540000000000006,37.97180960933992
2021-06-22,41.09,40.822010221465085
2021-06-23,37.66000000000001,37.78403345724908
2021-06-24,34.629999999999995,36.12663008951777
2021-06-25,33.22,36.558521974714026
2021-06-26,35.07000000000001,34.18619332763045
2021-06-27,36.09,34.244023275145466
2021-06-28,35.239999999999995,36.99122587968219
2021-06-29,36.120000000000005,37.24005537098561
2021-06-30,38.170000000000016,37.776012575320934
2021-07-01,39.92,40.05363977955913
2021-07-02,41.89,41.1588636906183
2021-07-03,43.19000000000001,40.85220652928918
2021-07-04,42.11999999999999,39.62159544159545
2021-07-05,38.64,45.9897204968944
2021-07-06,42.19,43.164332780279686
2021-07-07,47.12999999999998,49.06500954805858
2021-07-08,54.81000000000002,55.092484948002166
2021-07-09,64.07,57.538951147182786
2021-07-10,67.26,74.02437853107345
2021-07-11,77.71000000000001,84.46665036674817
2021-07-12,97.59,93.0784086484271
2021-07-13,116.89,119.62268115322097
2021-07-14,143.27999999999997,139.21070351758797
2021-07-15,170.64,156.18561181434598
2021-07-16,186.01,183.47400677382936
2021-07-17,200.0,207.9684805
2021-07-18,223.61,219.560842538348
2021-07-19,245.48,240.35251181358973
2021-07-20,263.86,263.41699082846964
2021-07-21,283.14,282.8802112029385
2021-07-22,303.54999999999995,315.77735331905785
2021-07-23,338.54,332.0453594848467
2021-07-24,370.32,374.7050529271981
2021-07-25,409.88,392.3379037767151
2021-07-26,434.25000000000006,438.8665625791595
2021-07-27,464.96,445.1492117601515
2021-07-28,476.6300000000001,477.6709682562995
2021-07-29,489.66,504.7220267124129
2021-07-30,518.52,506.95089446887295
2021-07-31,536.83,511.6911409571
2021-08-01,529.7600000000001,536.1105245771671
2021-08-02,529.05,541.8261714393725
2021-08-03,541.0999999999999,583.8571699313902
2021-08-04,585.4,623.2595516962915
2021-08-05,671.09,660.5845066120606
2021-08-06,704.69,684.8960714510822
2021-08-07,729.2499999999999,715.9732975594679
2021-08-08,735.97,734.763766633581
2021-08-09,771.47,759.7749583381593
2021-08-10,794.34,779.779017459194
2021-08-11,814.6899999999998,811.2666776559453
2021-08-12,808.6200000000001,843.3380236238621
2021-08-13,815.03,871.0294767609713
2021-08-14,857.51,912.4798732933218
2021-08-15,893.9499999999998,976.6282387972362
