,23A_origin,23A_Predicted
2023-02-19,50.160004,51.14858
2023-02-20,19.28,24.143147
2023-02-21,42.72,46.04304
2023-02-22,69.520004,73.92679
2023-02-23,53.28,54.53607
2023-02-24,50.32,50.38285
2023-02-25,50.88,55.209915
2023-02-26,45.44,50.535522
2023-02-27,34.050003,35.744038
2023-02-28,80.85,83.727104
2023-03-01,113.24999,113.847626
2023-03-02,75.15,79.92639
2023-03-03,74.1,77.5584
2023-03-04,90.75,90.38964
2023-03-05,72.299995,74.49509
2023-03-06,34.65,37.817947
2023-03-07,76.5,80.5287
2023-03-08,115.799995,117.212166
2023-03-09,88.8,92.55409
2023-03-10,84.6,87.09522
2023-03-11,77.25,81.02273
2023-03-12,79.8,81.61809
2023-03-13,69.6,71.058685
2023-03-14,155.15,157.16164
2023-03-15,185.02,190.25403
2023-03-16,165.01,163.1394
2023-03-17,139.19998,143.07843
2023-03-18,138.90999,143.66212
2023-03-19,121.509995,124.52718
2023-03-20,68.44,71.005646
2023-03-21,148.19,150.39392
2023-03-22,210.25,212.38628
2023-03-23,149.93,154.67816
2023-03-24,138.90999,140.354
2023-03-25,145.87,146.693
2023-03-26,122.08999,124.855896
2023-03-27,88.78,90.82062
2023-03-28,199.64,202.97728
2023-03-29,270.94,272.31543
2023-03-30,201.94,204.2014
2023-03-31,189.52,190.78394
2023-04-01,195.04,196.43822
2023-04-02,166.98,168.0191
2023-04-03,83.259995,84.6656
2023-04-04,194.12,195.80945
2023-04-05,260.82,262.57333
2023-04-06,201.94,203.68205
2023-04-07,170.66,171.84279
2023-04-08,157.77998,159.83717
2023-04-09,159.62,160.51944
2023-04-10,89.04,90.29089
2023-04-11,202.16,204.04561
2023-04-12,270.48,273.28003
2023-04-13,223.44002,224.72289
2023-04-14,204.95999,206.58408
2023-04-15,205.51999,205.45758
2023-04-16,183.12,184.23076
2023-04-17,82.32,83.12606
2023-04-18,188.72,189.66853
2023-04-19,286.16,291.10486
2023-04-20,263.76,260.03326
2023-04-21,249.20001,249.23834
2023-04-22,250.88002,251.68488
2023-04-23,226.24,226.3204
2023-04-24,126.719986,127.460365
2023-04-25,250.24,251.0652
2023-04-26,378.88,379.55167
2023-04-27,306.56,307.6873
2023-04-28,289.28,270.51492
2023-04-29,277.12,294.0398
2023-04-30,284.16,269.1701
2023-05-01,99.84,137.19846
2023-05-02,248.32,253.43398
2023-05-03,382.08,395.18665
2023-05-04,426.87997,353.3413
