,Alpha_origin,Alpha_Predicted
2021-06-13,0.84000003,0.78129864
2021-06-14,0.48,0.4397353
2021-06-15,0.59999996,0.5966159
2021-06-16,0.35999998,0.32955405
2021-06-17,0.35999998,0.34415004
2021-06-18,1.32,1.3044199
2021-06-19,0.48,0.4053014
2021-06-20,0.71999997,0.65429324
2021-06-21,0.9600001,0.89643717
2021-06-22,1.32,1.2693878
2021-06-23,2.52,2.559808
2021-06-24,3.4800003,3.526327
2021-06-25,0.84000003,0.79447645
2021-06-26,1.08,1.0887647
2021-06-27,0.48,0.5071621
2021-06-28,0.12,0.13624488
2021-06-29,0.71999997,0.7541632
2021-06-30,0.48,0.45191163
2021-07-01,0.59999996,0.58707875
2021-07-02,0.84000003,0.8444466
2021-07-03,0.48,0.47173214
2021-07-04,1.08,1.0787673
2021-07-05,0.78000003,0.77264804
2021-07-06,0.66,0.6357708
2021-07-07,0.35999998,0.31601608
2021-07-08,0.24,0.21673472
2021-07-09,0.54,0.546485
2021-07-10,0.78000003,0.76406235
2021-07-11,0.71999997,0.7153884
2021-07-12,0.78000003,0.7825295
2021-07-13,0.48,0.48510927
2021-07-14,1.32,1.3670409
2021-07-15,0.78000003,0.7762755
2021-07-16,0.71999997,0.7235991
2021-07-17,0.9600001,1.0019072
2021-07-18,0.9,0.93474966
2021-07-19,0.57,0.58944345
2021-07-20,0.57,0.592632
2021-07-21,0.75,0.7845765
2021-07-22,0.87000006,0.8900215
2021-07-23,0.48,0.46220034
2021-07-24,0.63,0.61239356
2021-07-25,0.84000003,0.83791167
2021-07-26,0.66,0.6488025
2021-07-27,0.75,0.753455
2021-07-28,0.99,0.9696248
2021-07-29,0.66,0.61702996
2021-07-30,1.11,1.0924232
2021-07-31,0.57,0.60653657
2021-08-01,0.84000003,0.8746972
2021-08-02,0.31,0.33781305
2021-08-03,0.25,0.260054
2021-08-04,0.48,0.47985464
2021-08-05,0.59999996,0.58949685
2021-08-06,0.56,0.56402653
2021-08-07,0.48999998,0.48807904
2021-08-08,0.56,0.54323643
2021-08-09,0.29999998,0.57647645
2021-08-10,0.59,0.6062195
2021-08-11,0.67,0.5524467
2021-08-12,0.63,0.55893034
2021-08-13,0.82000005,0.60362554
2021-08-14,0.54,0.59998536
2021-08-15,0.76000005,0.65234846
