incDec,stdDay,delta_variants,omicron_variants
47.0,2021-04-12,0.9400000000000001,0.0
39.0,2021-04-13,0.78,0.0
49.0,2021-04-14,0.98,0.0
54.0,2021-04-15,1.08,0.0
44.0,2021-04-16,0.88,0.0
35.0,2021-04-17,0.7000000000000001,0.0
31.0,2021-04-18,0.62,0.0
26.0,2021-04-19,0.52,0.0
29.0,2021-04-20,0.58,0.0
33.0,2021-04-21,0.66,0.0
37.0,2021-04-22,0.74,0.0
33.0,2021-04-23,0.66,0.0
44.0,2021-04-24,0.88,0.0
43.0,2021-04-25,0.86,0.0
25.0,2021-04-26,1.0,0.0
30.0,2021-04-27,1.2,0.0
33.0,2021-04-28,1.32,0.0
40.0,2021-04-29,1.6,0.0
32.0,2021-04-30,1.28,0.0
29.0,2021-05-01,1.16,0.0
33.0,2021-05-02,1.32,0.0
16.0,2021-05-03,0.64,0.0
16.0,2021-05-04,0.64,0.0
23.0,2021-05-05,0.92,0.0
28.0,2021-05-06,1.12,0.0
21.0,2021-05-07,0.84,0.0
27.0,2021-05-08,1.08,0.0
10.0,2021-05-09,0.4,0.0
20.0,2021-05-10,0.6,0.0
14.0,2021-05-11,0.42,0.0
10.0,2021-05-12,0.3,0.0
20.0,2021-05-13,0.6,0.0
24.0,2021-05-14,0.72,0.0
42.0,2021-05-15,1.26,0.0
31.0,2021-05-16,0.9299999999999999,0.0
12.0,2021-05-17,0.36,0.0
13.0,2021-05-18,0.39,0.0
27.0,2021-05-19,0.8099999999999999,0.0
17.0,2021-05-20,0.51,0.0
15.0,2021-05-21,0.44999999999999996,0.0
28.0,2021-05-22,0.84,0.0
15.0,2021-05-23,0.44999999999999996,0.0
15.0,2021-05-24,0.44999999999999996,0.0
16.0,2021-05-25,0.48,0.0
22.0,2021-05-26,0.6599999999999999,0.0
18.0,2021-05-27,0.54,0.0
13.0,2021-05-28,0.39,0.0
14.0,2021-05-29,0.42,0.0
13.0,2021-05-30,0.39,0.0
17.0,2021-05-31,0.51,0.0
28.0,2021-06-01,0.84,0.0
21.0,2021-06-02,0.63,0.0
32.0,2021-06-03,0.96,0.0
