incDec,stdDay,delta_variants,omicron_variants
17.0,2021-04-12,0.34,0.0
15.0,2021-04-13,0.3,0.0
27.0,2021-04-14,0.54,0.0
24.0,2021-04-15,0.48,0.0
44.0,2021-04-16,0.88,0.0
38.0,2021-04-17,0.76,0.0
67.0,2021-04-18,1.34,0.0
35.0,2021-04-19,0.7000000000000001,0.0
29.0,2021-04-20,0.58,0.0
41.0,2021-04-21,0.8200000000000001,0.0
58.0,2021-04-22,1.16,0.0
63.0,2021-04-23,1.26,0.0
52.0,2021-04-24,1.04,0.0
45.0,2021-04-25,0.9,0.0
29.0,2021-04-26,1.16,0.0
28.0,2021-04-27,1.12,0.0
55.0,2021-04-28,2.2,0.0
38.0,2021-04-29,1.52,0.0
37.0,2021-04-30,1.48,0.0
43.0,2021-05-01,1.72,0.0
61.0,2021-05-02,2.44,0.0
44.0,2021-05-03,1.76,0.0
36.0,2021-05-04,1.44,0.0
27.0,2021-05-05,1.08,0.0
17.0,2021-05-06,0.68,0.0
32.0,2021-05-07,1.28,0.0
37.0,2021-05-08,1.48,0.0
30.0,2021-05-09,1.2,0.0
16.0,2021-05-10,0.48,0.0
10.0,2021-05-11,0.3,0.0
16.0,2021-05-12,0.48,0.0
32.0,2021-05-13,0.96,0.0
32.0,2021-05-14,0.96,0.0
40.0,2021-05-15,1.2,0.0
45.0,2021-05-16,1.3499999999999999,0.0
30.0,2021-05-17,0.8999999999999999,0.0
16.0,2021-05-18,0.48,0.0
16.0,2021-05-19,0.48,0.0
12.0,2021-05-20,0.36,0.0
18.0,2021-05-21,0.54,0.0
21.0,2021-05-22,0.63,0.0
17.0,2021-05-23,0.51,0.0
17.0,2021-05-24,0.51,0.0
14.0,2021-05-25,0.42,0.0
20.0,2021-05-26,0.6,0.0
18.0,2021-05-27,0.54,0.0
21.0,2021-05-28,0.63,0.0
20.0,2021-05-29,0.6,0.0
10.0,2021-05-30,0.3,0.0
16.0,2021-05-31,0.48,0.0
8.0,2021-06-01,0.24,0.0
21.0,2021-06-02,0.63,0.0
23.0,2021-06-03,0.69,0.0
44.0,2021-06-04,1.3199999999999998,0.0
20.0,2021-06-05,0.6,0.0
17.0,2021-06-06,0.51,0.0
28.0,2021-06-07,3.9200000000000004,0.0
48.0,2021-06-08,6.720000000000001,0.0
39.0,2021-06-09,5.460000000000001,0.0
33.0,2021-06-10,4.62,0.0
20.0,2021-06-11,2.8000000000000003,0.0
25.0,2021-06-12,3.5000000000000004,0.0
8.0,2021-06-13,1.12,0.0
13.0,2021-06-14,1.8200000000000003,0.0
3.0,2021-06-15,0.42000000000000004,0.0
7.0,2021-06-16,0.9800000000000001,0.0
