incDec,stdDay,delta_variants,omicron_variants
6.0,2021-04-12,0.12,0.0
13.0,2021-04-13,0.26,0.0
6.0,2021-04-14,0.12,0.0
18.0,2021-04-15,0.36,0.0
7.0,2021-04-16,0.14,0.0
12.0,2021-04-17,0.24,0.0
19.0,2021-04-18,0.38,0.0
21.0,2021-04-19,0.42,0.0
18.0,2021-04-20,0.36,0.0
15.0,2021-04-21,0.3,0.0
24.0,2021-04-22,0.48,0.0
15.0,2021-04-23,0.3,0.0
9.0,2021-04-24,0.18,0.0
10.0,2021-04-25,0.2,0.0
12.0,2021-04-26,0.48,0.0
2.0,2021-04-27,0.08,0.0
11.0,2021-04-28,0.44,0.0
13.0,2021-04-29,0.52,0.0
4.0,2021-04-30,0.16,0.0
4.0,2021-05-01,0.16,0.0
4.0,2021-05-02,0.16,0.0
10.0,2021-05-03,0.4,0.0
22.0,2021-05-04,0.88,0.0
48.0,2021-05-05,1.92,0.0
12.0,2021-05-06,0.48,0.0
8.0,2021-05-07,0.32,0.0
27.0,2021-05-08,1.08,0.0
7.0,2021-05-09,0.28,0.0
5.0,2021-05-10,0.15,0.0
12.0,2021-05-11,0.36,0.0
17.0,2021-05-12,0.51,0.0
17.0,2021-05-13,0.51,0.0
25.0,2021-05-14,0.75,0.0
12.0,2021-05-15,0.36,0.0
5.0,2021-05-16,0.15,0.0
35.0,2021-05-17,1.05,0.0
25.0,2021-05-18,0.75,0.0
16.0,2021-05-19,0.48,0.0
8.0,2021-05-20,0.24,0.0
7.0,2021-05-21,0.21,0.0
29.0,2021-05-22,0.87,0.0
19.0,2021-05-23,0.57,0.0
20.0,2021-05-24,0.6,0.0
21.0,2021-05-25,0.63,0.0
25.0,2021-05-26,0.75,0.0
7.0,2021-05-27,0.21,0.0
16.0,2021-05-28,0.48,0.0
10.0,2021-05-29,0.3,0.0
17.0,2021-05-30,0.51,0.0
11.0,2021-05-31,0.32999999999999996,0.0
13.0,2021-06-01,0.39,0.0
14.0,2021-06-02,0.42,0.0
17.0,2021-06-03,0.51,0.0
18.0,2021-06-04,0.54,0.0
14.0,2021-06-05,0.42,0.0
10.0,2021-06-06,0.3,0.0
2.0,2021-06-07,0.28,0.0
5.0,2021-06-08,0.7000000000000001,0.0
30.0,2021-06-09,4.2,0.0
16.0,2021-06-10,2.24,0.0
11.0,2021-06-11,1.54,0.0
11.0,2021-06-12,1.54,0.0
10.0,2021-06-13,1.4000000000000001,0.0
11.0,2021-06-14,1.54,0.0
3.0,2021-06-15,0.42000000000000004,0.0
7.0,2021-06-16,0.9800000000000001,0.0
7.0,2021-06-17,0.9800000000000001,0.0
9.0,2021-06-18,1.2600000000000002,0.0
5.0,2021-06-19,0.7000000000000001,0.0
13.0,2021-06-20,1.8200000000000003,0.0
9.0,2021-06-21,3.5100000000000002,0.0
10.0,2021-06-22,3.9000000000000004,0.0
17.0,2021-06-23,6.63,0.0
5.0,2021-06-24,1.9500000000000002,0.0
13.0,2021-06-25,5.07,0.0
35.0,2021-06-26,13.65,0.0
19.0,2021-06-27,7.41,0.0
17.0,2021-06-28,6.63,0.0
8.0,2021-06-29,3.12,0.0
15.0,2021-06-30,5.8500000000000005,0.0
10.0,2021-07-01,3.9000000000000004,0.0
14.0,2021-07-02,5.46,0.0
11.0,2021-07-03,4.29,0.0
19.0,2021-07-04,7.41,0.0
7.0,2021-07-05,4.13,0.0
9.0,2021-07-06,5.31,0.0
12.0,2021-07-07,7.08,0.0
16.0,2021-07-08,9.44,0.0
24.0,2021-07-09,14.16,0.0
16.0,2021-07-10,9.44,0.0
20.0,2021-07-11,11.799999999999999,0.0
18.0,2021-07-12,10.62,0.0
19.0,2021-07-13,11.209999999999999,0.0
16.0,2021-07-14,9.44,0.0
25.0,2021-07-15,14.75,0.0
28.0,2021-07-16,16.52,0.0
45.0,2021-07-17,26.549999999999997,0.0
52.0,2021-07-18,30.68,0.0
27.0,2021-07-19,20.79,0.0
42.0,2021-07-20,32.34,0.0
54.0,2021-07-21,41.58,0.0
47.0,2021-07-22,36.19,0.0
62.0,2021-07-23,47.74,0.0
46.0,2021-07-24,35.42,0.0
25.0,2021-07-25,19.25,0.0
29.0,2021-07-26,22.330000000000002,0.0
61.0,2021-07-27,46.97,0.0
74.0,2021-07-28,56.980000000000004,0.0
47.0,2021-07-29,36.19,0.0
20.0,2021-07-30,15.4,0.0
39.0,2021-07-31,30.03,0.0
44.0,2021-08-01,33.88,0.0
25.0,2021-08-02,23.75,0.0
25.0,2021-08-03,23.75,0.0
22.0,2021-08-04,20.9,0.0
31.0,2021-08-05,29.45,0.0
26.0,2021-08-06,24.7,0.0
33.0,2021-08-07,31.349999999999998,0.0
25.0,2021-08-08,23.75,0.0
24.0,2021-08-09,22.799999999999997,0.0
22.0,2021-08-10,20.9,0.0
19.0,2021-08-11,18.05,0.0
42.0,2021-08-12,39.9,0.0
33.0,2021-08-13,31.349999999999998,0.0
39.0,2021-08-14,37.05,0.0
31.0,2021-08-15,29.45,0.0
41.0,2021-08-16,40.18,0.0
26.0,2021-08-17,25.48,0.0
40.0,2021-08-18,39.2,0.0
29.0,2021-08-19,28.419999999999998,0.0
28.0,2021-08-20,27.439999999999998,0.0
40.0,2021-08-21,39.2,0.0
15.0,2021-08-22,14.7,0.0
26.0,2021-08-23,25.48,0.0
17.0,2021-08-24,16.66,0.0
46.0,2021-08-25,45.08,0.0
26.0,2021-08-26,25.48,0.0
57.0,2021-08-27,55.86,0.0
41.0,2021-08-28,40.18,0.0
35.0,2021-08-29,34.3,0.0
29.0,2021-08-30,28.71,0.0
30.0,2021-08-31,29.7,0.0
35.0,2021-09-01,34.65,0.0
27.0,2021-09-02,26.73,0.0
18.0,2021-09-03,17.82,0.0
45.0,2021-09-04,44.55,0.0
24.0,2021-09-05,23.759999999999998,0.0
25.0,2021-09-06,24.75,0.0
22.0,2021-09-07,21.78,0.0
33.0,2021-09-08,32.67,0.0
33.0,2021-09-09,32.67,0.0
33.0,2021-09-10,32.67,0.0
34.0,2021-09-11,33.66,0.0
19.0,2021-09-12,18.81,0.0
14.0,2021-09-13,14.0,0.0
21.0,2021-09-14,21.0,0.0
29.0,2021-09-15,29.0,0.0
36.0,2021-09-16,36.0,0.0
39.0,2021-09-17,39.0,0.0
48.0,2021-09-18,48.0,0.0
46.0,2021-09-19,46.0,0.0
28.0,2021-09-20,28.0,0.0
39.0,2021-09-21,39.0,0.0
33.0,2021-09-22,33.0,0.0
31.0,2021-09-23,31.0,0.0
43.0,2021-09-24,43.0,0.0
57.0,2021-09-25,57.0,0.0
47.0,2021-09-26,47.0,0.0
40.0,2021-09-27,40.0,0.0
26.0,2021-09-28,26.0,0.0
20.0,2021-09-29,20.0,0.0
32.0,2021-09-30,32.0,0.0
52.0,2021-10-01,52.0,0.0
33.0,2021-10-02,33.0,0.0
50.0,2021-10-03,50.0,0.0
37.0,2021-10-04,37.0,0.0
24.0,2021-10-05,24.0,0.0
31.0,2021-10-06,31.0,0.0
29.0,2021-10-07,29.0,0.0
33.0,2021-10-08,33.0,0.0
28.0,2021-10-09,28.0,0.0
18.0,2021-10-10,18.0,0.0
17.0,2021-10-11,17.0,0.0
28.0,2021-10-12,28.0,0.0
17.0,2021-10-13,17.0,0.0
22.0,2021-10-14,22.0,0.0
21.0,2021-10-15,21.0,0.0
19.0,2021-10-16,19.0,0.0
24.0,2021-10-17,24.0,0.0
8.0,2021-10-18,8.0,0.0
7.0,2021-10-19,7.0,0.0
