incDec,stdDay,delta_variants,omicron_variants
16.0,2021-04-12,0.32,0.0
9.0,2021-04-13,0.18,0.0
11.0,2021-04-14,0.22,0.0
18.0,2021-04-15,0.36,0.0
4.0,2021-04-16,0.08,0.0
12.0,2021-04-17,0.24,0.0
13.0,2021-04-18,0.26,0.0
24.0,2021-04-19,0.48,0.0
15.0,2021-04-20,0.3,0.0
25.0,2021-04-21,0.5,0.0
24.0,2021-04-22,0.48,0.0
12.0,2021-04-23,0.24,0.0
4.0,2021-04-24,0.08,0.0
14.0,2021-04-25,0.28,0.0
7.0,2021-04-26,0.28,0.0
12.0,2021-04-27,0.48,0.0
29.0,2021-04-28,1.16,0.0
19.0,2021-04-29,0.76,0.0
14.0,2021-04-30,0.56,0.0
12.0,2021-05-01,0.48,0.0
10.0,2021-05-02,0.4,0.0
12.0,2021-05-03,0.48,0.0
10.0,2021-05-04,0.4,0.0
6.0,2021-05-05,0.24,0.0
7.0,2021-05-06,0.28,0.0
9.0,2021-05-07,0.36,0.0
13.0,2021-05-08,0.52,0.0
6.0,2021-05-09,0.24,0.0
4.0,2021-05-10,0.12,0.0
8.0,2021-05-11,0.24,0.0
6.0,2021-05-12,0.18,0.0
5.0,2021-05-13,0.15,0.0
9.0,2021-05-14,0.27,0.0
5.0,2021-05-15,0.15,0.0
6.0,2021-05-16,0.18,0.0
19.0,2021-05-17,0.57,0.0
23.0,2021-05-18,0.69,0.0
23.0,2021-05-19,0.69,0.0
9.0,2021-05-20,0.27,0.0
19.0,2021-05-21,0.57,0.0
56.0,2021-05-22,1.68,0.0
57.0,2021-05-23,1.71,0.0
48.0,2021-05-24,1.44,0.0
29.0,2021-05-25,0.87,0.0
30.0,2021-05-26,0.8999999999999999,0.0
27.0,2021-05-27,0.8099999999999999,0.0
24.0,2021-05-28,0.72,0.0
22.0,2021-05-29,0.6599999999999999,0.0
20.0,2021-05-30,0.6,0.0
31.0,2021-05-31,0.9299999999999999,0.0
42.0,2021-06-01,1.26,0.0
39.0,2021-06-02,1.17,0.0
74.0,2021-06-03,2.2199999999999998,0.0
65.0,2021-06-04,1.95,0.0
41.0,2021-06-05,1.23,0.0
46.0,2021-06-06,1.38,0.0
26.0,2021-06-07,3.6400000000000006,0.0
33.0,2021-06-08,4.62,0.0
44.0,2021-06-09,6.16,0.0
30.0,2021-06-10,4.2,0.0
24.0,2021-06-11,3.3600000000000003,0.0
23.0,2021-06-12,3.22,0.0
15.0,2021-06-13,2.1,0.0
20.0,2021-06-14,2.8000000000000003,0.0
16.0,2021-06-15,2.24,0.0
16.0,2021-06-16,2.24,0.0
7.0,2021-06-17,0.9800000000000001,0.0
11.0,2021-06-18,1.54,0.0
13.0,2021-06-19,1.8200000000000003,0.0
16.0,2021-06-20,2.24,0.0
18.0,2021-06-21,7.0200000000000005,0.0
3.0,2021-06-22,1.17,0.0
7.0,2021-06-23,2.73,0.0
3.0,2021-06-24,1.17,0.0
5.0,2021-06-25,1.9500000000000002,0.0
13.0,2021-06-26,5.07,0.0
8.0,2021-06-27,3.12,0.0
5.0,2021-06-28,1.9500000000000002,0.0
8.0,2021-06-29,3.12,0.0
11.0,2021-06-30,4.29,0.0
7.0,2021-07-01,2.73,0.0
9.0,2021-07-02,3.5100000000000002,0.0
8.0,2021-07-03,3.12,0.0
3.0,2021-07-04,1.17,0.0
6.0,2021-07-05,3.54,0.0
8.0,2021-07-06,4.72,0.0
13.0,2021-07-07,7.67,0.0
15.0,2021-07-08,8.85,0.0
19.0,2021-07-09,11.209999999999999,0.0
14.0,2021-07-10,8.26,0.0
23.0,2021-07-11,13.569999999999999,0.0
37.0,2021-07-12,21.83,0.0
38.0,2021-07-13,22.419999999999998,0.0
52.0,2021-07-14,30.68,0.0
51.0,2021-07-15,30.09,0.0
32.0,2021-07-16,18.88,0.0
29.0,2021-07-17,17.11,0.0
42.0,2021-07-18,24.779999999999998,0.0
33.0,2021-07-19,25.41,0.0
30.0,2021-07-20,23.1,0.0
35.0,2021-07-21,26.95,0.0
38.0,2021-07-22,29.26,0.0
60.0,2021-07-23,46.2,0.0
52.0,2021-07-24,40.04,0.0
69.0,2021-07-25,53.13,0.0
60.0,2021-07-26,46.2,0.0
69.0,2021-07-27,53.13,0.0
55.0,2021-07-28,42.35,0.0
56.0,2021-07-29,43.120000000000005,0.0
62.0,2021-07-30,47.74,0.0
46.0,2021-07-31,35.42,0.0
