,Alpha_origin,Alpha_Predicted
2021-06-13,0.72,0.7293654
2021-06-14,2.76,2.8861058
2021-06-15,1.68,1.7494831
2021-06-16,2.04,2.1702225
2021-06-17,2.16,2.2633142
2021-06-18,2.28,2.4078
2021-06-19,1.2,1.1438057
2021-06-20,0.72,0.649776
2021-06-21,0.36,0.30898666
2021-06-22,1.92,1.9876131
2021-06-23,1.2,1.1742442
2021-06-24,0.72,0.67308885
2021-06-25,1.2,1.1719837
2021-06-26,0.6,0.56280947
2021-06-27,0.48,0.43415013
2021-06-28,0.6,0.5547487
2021-06-29,1.2,1.1803317
2021-06-30,0.6,0.56755096
2021-07-01,0.48,0.40437627
2021-07-02,0.84,0.81691086
2021-07-03,0.72,0.7364767
2021-07-04,0.24,0.22136578
2021-07-05,0.18,0.1830407
2021-07-06,0.12,0.14690192
2021-07-07,0.3,0.29760665
2021-07-08,0.48,0.5186666
2021-07-09,0.84,0.8764791
2021-07-10,1.14,1.1741974
2021-07-11,0.48,0.50682175
2021-07-12,0.84,0.82834727
2021-07-13,0.48,0.47701392
2021-07-14,0.6,0.6138979
2021-07-15,0.72,0.73250383
2021-07-16,0.84,0.839065
2021-07-17,0.66,0.7103894
2021-07-18,1.74,1.8514416
2021-07-19,0.12,0.12453806
2021-07-20,1.32,1.4587113
2021-07-21,0.45,0.6742655
2021-07-22,0.84,0.96847755
2021-07-23,1.05,1.2150093
2021-07-24,0.93,1.1764637
2021-07-25,1.23,1.4064604
2021-07-26,0.93,0.99795604
2021-07-27,0.39,0.6061245
2021-07-28,1.2,1.2223744
2021-07-29,0.9,1.0621057
2021-07-30,1.11,1.1645505
2021-07-31,0.57,0.5226351
2021-08-01,0.51,0.411468
2021-08-02,0.26,0.2956532
2021-08-03,0.39,0.3319743
2021-08-04,0.45,0.42550164
2021-08-05,0.45,0.42087862
2021-08-06,0.41,0.40818182
2021-08-07,0.42999998,0.40906549
2021-08-08,0.54999995,0.5423434
2021-08-09,0.38,0.45647964
2021-08-10,0.47,0.45424014
2021-08-11,0.56000006,0.51573545
2021-08-12,0.75,0.5768169
2021-08-13,0.52,0.6451027
2021-08-14,0.45,0.4741485
2021-08-15,0.44,0.568496
