stdDay,22D_alpha,predicted_22D_alpha,22D_Infected,predicted_22D_Infected
2023-02-19,0.112579948,0.277020007,4193.28,4366.388856
2023-02-20,0.317826129,0.252350271,4143.6,3964.489397
2023-02-21,0.392139127,0.252120942,3917.52,3976.058739
2023-02-22,0.31482197,0.262551099,3759.12,3773.454909
2023-02-23,0.274132198,0.25908637,3620.88,3595.420004
2023-02-24,0.325304683,0.265455037,3463.2,3596.038204
2023-02-25,0.257483882,0.234338656,3439.44,3387.802721
2023-02-26,0.124295288,0.240954623,3364.56,3414.139176
2023-02-27,0.276066658,0.270800799,3339.81,3184.888319
2023-02-28,0.396606379,0.276203275,3161.46,3204.37775
2023-03-01,0.230054067,0.259918809,3033.26,2933.860645
2023-03-02,0.331171825,0.241336241,2814.89,3002.904663
2023-03-03,0.372922402,0.239342511,2786.72,2774.122015
2023-03-04,0.344661091,0.256208837,2746.36,2813.203561
2023-03-05,0.127408107,0.208972886,2772.46,2717.157525
2023-03-06,0.373239935,0.248950571,2742.98,2817.155252
2023-03-07,0.376661612,0.277669311,2787.2,2651.986913
2023-03-08,0.308242003,0.271769881,2694.74,2847.490005
2023-03-09,0.284331268,0.229517311,2753.03,2628.502779
2023-03-10,0.306739903,0.228138909,2685.36,2653.431859
2023-03-11,0.265988838,0.281461716,2588.21,2565.099249
2023-03-12,0.099850357,0.260060608,2472.3,2538.284127
2023-03-13,0.245737696,0.204398483,2424.61,2277.145523
2023-03-14,0.330077897,0.267485857,2233.22,2272.546667
2023-03-15,0.25293656,0.245654747,2093.16,2089.570809
2023-03-16,0.272333523,0.224698246,1958.52,1973.97347
2023-03-17,0.282713871,0.276800811,1847,1815.739969
2023-03-18,0.296189383,0.260696262,1712.35,1759.555091
2023-03-19,0,0.223349258,1631.28,1597.135239
2023-03-20,0.533320243,0.300396413,1521.52,1733.347575
2023-03-21,0.41623369,0.217579439,1616.72,1494.114721
2023-03-22,0.420840018,0.241863132,1587.6,1678.879605
2023-03-23,0.288151545,0.228785217,1648.64,1562.254484
2023-03-24,0.298354407,0.194273859,1622.32,1630.998357
2023-03-25,0.307961279,0.241690025,1604.96,1616.093371
2023-03-26,0.084820826,0.238754183,1598.8,1665.251405
2023-03-27,0.245806166,0.248026848,1658.86,1425.789265
2023-03-28,0.296563064,0.272972494,1479.35,1541.948692
2023-03-29,0.221102765,0.25891456,1375.09,1305.400585
2023-03-30,0.244086487,0.249767855,1213.4,1284.973668
2023-03-31,0.274483135,0.264836997,1133.88,1131.203247
2023-04-01,0.228591216,0.260867685,1057.07,1013.634465
2023-04-02,0.140012632,0.232116982,944.97,1055.32494
2023-04-03,0.428256021,0.269331604,943.41,943.0167755
2023-04-04,0.428340048,0.282011837,941.46,927.3868807
2023-04-05,0.416801304,0.220627129,925.47,977.9599241
2023-04-06,0.286558153,0.225604773,961.35,916.4593387
2023-04-07,0.349736785,0.243073449,951.99,970.8020279
2023-04-08,0.299557633,0.267189652,961.35,972.0725477
2023-04-09,0.07500878,0.243015885,981.63,935.8871474
2023-04-10,0.237332932,0.22684902,955.63,900.973692
2023-04-11,0.292909791,0.248961389,877.11,884.9527553
2023-04-12,0.286644617,0.258879453,812.24,803.9707058
2023-04-13,0.298551552,0.232473299,744.51,786.4275886
2023-04-14,0.317429635,0.258973658,720.85,696.845248
2023-04-15,0.299888275,0.263270676,674.7,680.2935067
2023-04-16,0.112124723,0.246522531,636.74,673.5979992
2023-04-17,0.433489744,0.286950171,635.7,658.0948793
2023-04-18,0.506703249,0.312618673,657.02,667.9000791
2023-04-19,0.414882381,0.273745358,690.3,679.2918644
2023-04-20,0.413828039,0.222326264,713.7,721.2314754
2023-04-21,0.399385823,0.262254149,745.68,742.5665272
2023-04-22,0.358088633,0.271804482,775.84,727.7950406
2023-04-23,0.089213045,0.292997926,808.86,731.1486445
2023-04-24,0.305501105,0.278362125,809.13,796.9084956
2023-04-25,0.339824154,0.273756474,796.39,774.8522408
2023-04-26,0.321838017,0.281537801,768.69,725.4027481
2023-04-27,0.322519009,0.290614158,751.27,696.1212785
2023-04-28,0.412815133,0.294492185,727.67,664.5008335
2023-04-29,0.337646877,0.296301186,728.49,630.7362684
2023-04-30,0.104330269,0.27107504,714.21,606.9306739
2023-05-01,0.402881818,0.272491693,715.16,652.1230676
2023-05-02,0.517562698,0.268233985,732.83,630.9476061
2023-05-03,0.500924496,0.277524382,780.14,602.7260381
2023-05-04,0,0.298324227,842.65,592.0360861
