,23A_origin,23A_Predicted
2023-02-19,18.8,23.440271
2023-02-20,11.440001,7.9541187
2023-02-21,25.279999,35.52561
2023-02-22,21.2,31.066889
2023-02-23,19.279999,20.000032
2023-02-24,20.960001,23.661821
2023-02-25,22.4,25.261267
2023-02-26,20.640001,24.960394
2023-02-27,16.65,16.675138
2023-02-28,43.5,52.876232
2023-03-01,48.0,47.417057
2023-03-02,28.8,36.786285
2023-03-03,43.05,41.464165
2023-03-04,44.850002,42.40483
2023-03-05,45.600002,43.405586
2023-03-06,0.0,22.59746
2023-03-07,72.3,64.12242
2023-03-08,54.149998,58.275436
2023-03-09,47.399998,53.279232
2023-03-10,47.7,53.399025
2023-03-11,45.15,58.201164
2023-03-12,53.1,54.49881
2023-03-13,43.5,40.707363
2023-03-14,122.67,120.95924
2023-03-15,116.28999,113.06581
2023-03-16,93.67,100.76248
2023-03-17,87.0,95.57497
2023-03-18,92.51,97.65963
2023-03-19,78.01,86.66423
2023-03-20,41.18,46.34532
2023-03-21,139.20001,146.27219
2023-03-22,121.51,130.12389
2023-03-23,113.39001,114.98917
2023-03-24,123.25,121.9965
2023-03-25,111.65,113.43085
2023-03-26,93.67,100.23018
2023-03-27,68.08,68.25487
2023-03-28,205.16,204.10094
2023-03-29,185.38,188.06352
2023-03-30,176.64,175.23988
2023-03-31,148.58,154.86487
2023-04-01,155.48,151.36769
2023-04-02,142.6,139.94275
2023-04-03,60.719997,62.91402
2023-04-04,216.20001,217.06635
2023-04-05,218.96,216.28824
2023-04-06,174.34,179.4836
2023-04-07,160.54,163.80792
2023-04-08,126.04,134.20311
2023-04-09,126.04,128.052
2023-04-10,48.72,53.11086
2023-04-11,186.48,190.46893
2023-04-12,205.51999,211.08209
2023-04-13,196.0,198.35402
2023-04-14,207.2,206.70694
2023-04-15,183.68001,186.03854
2023-04-16,168.56,171.14552
2023-04-17,77.840004,79.23593
2023-04-18,263.76,266.6295
2023-04-19,273.84,275.93436
2023-04-20,248.08,248.43826
2023-04-21,235.76,238.39166
2023-04-22,252.56,252.27573
2023-04-23,196.56,197.59956
2023-04-24,90.24,90.97394
2023-04-25,310.4,312.62
2023-04-26,285.44,287.60132
2023-04-27,238.72002,240.21573
2023-04-28,259.2,260.79483
2023-04-29,250.88,289.74606
2023-04-30,278.40002,243.38023
2023-05-01,99.2,93.870964
2023-05-02,313.6,317.1186
2023-05-03,426.24,349.977
2023-05-04,396.16,288.56448
