,22D_origin,22D_Predicted
2023-02-19,169.2,159.62196
2023-02-20,102.96,94.624016
2023-02-21,227.51999,212.79027
2023-02-22,190.79999,178.12407
2023-02-23,173.51999,162.47827
2023-02-24,188.64,176.05582
2023-02-25,201.59999,188.73125
2023-02-26,185.76,174.7396
2023-02-27,74.37,65.62438
2023-02-28,194.3,182.67393
2023-03-01,214.40001,200.67432
2023-03-02,128.64,121.89304
2023-03-03,192.29,180.59293
2023-03-04,200.33,188.49884
2023-03-05,203.68,190.99611
2023-03-06,0.0,-3.1874135
2023-03-07,322.94,310.77933
2023-03-08,241.87001,227.74667
2023-03-09,211.72,199.01088
2023-03-10,213.06,199.2855
2023-03-11,201.67001,189.96002
2023-03-12,237.18,225.95094
2023-03-13,84.0,74.79538
2023-03-14,236.87999,225.40947
2023-03-15,224.56001,213.14024
2023-03-16,180.87999,170.72668
2023-03-17,168.0,157.74849
2023-03-18,178.64,168.78888
2023-03-19,150.64,141.83148
2023-03-20,79.52,72.18757
2023-03-21,268.80002,257.0437
2023-03-22,234.64,224.38289
2023-03-23,218.95999,207.94202
2023-03-24,238.0,226.9333
2023-03-25,215.6,205.2555
2023-03-26,180.87999,171.1891
2023-03-27,57.72,50.74278
2023-03-28,173.94,162.97867
2023-03-29,157.17,149.5468
2023-03-30,149.76,138.9852
2023-03-31,125.97,116.13783
2023-04-01,131.81999,121.026276
2023-04-02,120.899994,111.1017
2023-04-03,51.48,43.388485
2023-04-04,183.3,166.02779
2023-04-05,185.64,172.06386
2023-04-06,147.81,140.57065
2023-04-07,136.11,127.829506
2023-04-08,106.86001,107.735634
2023-04-09,106.86001,96.41121
2023-04-10,22.62,23.722807
2023-04-11,86.579994,93.2402
2023-04-12,95.42,87.321396
2023-04-13,91.0,81.40458
2023-04-14,96.200005,85.148926
2023-04-15,85.28,81.990425
2023-04-16,78.26,80.652016
2023-04-17,36.14,31.447897
2023-04-18,122.45999,114.392845
2023-04-19,127.14,118.501205
2023-04-20,115.17999,103.64178
2023-04-21,109.46,106.82866
2023-04-22,117.26,101.02461
2023-04-23,91.26,81.561966
2023-04-24,26.789999,22.362844
2023-04-25,92.149994,85.69828
2023-04-26,84.74,79.003716
2023-04-27,70.869995,65.14681
2023-04-28,76.95,75.930214
2023-04-29,74.48,80.53303
2023-04-30,82.65,92.83439
2023-05-01,29.449999,34.679886
2023-05-02,93.1,113.21808
2023-05-03,126.54,114.14539
2023-05-04,117.61,114.61203
