,Alpha_origin,Alpha_Predicted
2021-06-13,1.32,1.0161793
2021-06-14,1.1999999,1.3501344
2021-06-15,1.8,2.2080636
2021-06-16,3.4799998,3.1686149
2021-06-17,2.16,2.5543659
2021-06-18,1.5600001,1.3439486
2021-06-19,0.59999996,0.6286418
2021-06-20,0.96000004,0.9165486
2021-06-21,1.8,1.8123161
2021-06-22,3.72,4.394449
2021-06-23,6.9599996,5.5022526
2021-06-24,1.8,2.456395
2021-06-25,1.08,1.3764005
2021-06-26,1.5600001,1.2856284
2021-06-27,1.8,1.2666975
2021-06-28,0.84,1.6854676
2021-06-29,3.0,2.3498688
2021-06-30,3.12,2.2466097
2021-07-01,1.9200001,2.5411303
2021-07-02,3.0,3.071074
2021-07-03,3.36,3.2734725
2021-07-04,3.84,2.8634233
2021-07-05,1.14,1.8884715
2021-07-06,1.5600001,1.2323186
2021-07-07,1.8,1.153595
2021-07-08,0.78000003,1.4479766
2021-07-09,1.74,1.9221257
2021-07-10,2.8799999,1.7934105
2021-07-11,1.9200001,1.7427988
2021-07-12,1.5,1.6728315
2021-07-13,1.86,1.8431495
2021-07-14,2.46,2.44705
2021-07-15,3.6,3.4107435
2021-07-16,2.9399998,3.2694387
2021-07-17,1.98,2.8342845
2021-07-18,2.6999998,2.3691018
2021-07-19,2.49,2.095262
2021-07-20,2.19,2.2063584
2021-07-21,2.19,2.122332
2021-07-22,2.43,2.1343784
2021-07-23,2.01,2.1304917
2021-07-24,2.0400002,2.0546687
2021-07-25,1.62,1.9439887
2021-07-26,2.13,1.9197121
2021-07-27,2.13,2.0856047
2021-07-28,2.25,2.0418983
2021-07-29,2.07,1.9073479
2021-07-30,2.55,2.1761422
2021-07-31,2.58,2.6278074
2021-08-01,2.07,1.977084
2021-08-02,0.64000005,1.2749243
2021-08-03,0.78000003,1.3498058
2021-08-04,0.59,1.3465484
2021-08-05,0.70000005,1.0483857
2021-08-06,0.5,0.91864663
2021-08-07,0.57,0.79498786
2021-08-08,0.33,0.66461223
2021-08-09,0.42,0.5867744
2021-08-10,0.51,0.6475551
2021-08-11,0.43,0.36891928
2021-08-12,0.51,0.44356135
2021-08-13,0.58,0.44264877
2021-08-14,0.42,0.40480217
2021-08-15,0.44,0.3688014
