stdDay,Alpha_alpha,predicted_Alpha_alpha,Alpha_Infected,predicted_Alpha_Infected
2021-06-13,0.049489214,0.078285351,31.57,7.448985599
2021-06-14,0.011152161,0.119097516,32.33,7.842484674
2021-06-15,0.026053968,0.030253714,32.29,32.11973986
2021-06-16,0.018731841,0.069960222,32.08,31.73639963
2021-06-17,0.053364142,0.027781906,31.53,31.55092927
2021-06-18,0.042632247,0.071932033,31.01,31.85536601
2021-06-19,0.042196948,0.050737519,31.33,31.47519949
2021-06-20,0.049132224,0.050467853,31.8,29.55660377
2021-06-21,0.044067999,0.048867129,30,27.0936
2021-06-22,0.084637924,0.077383079,25.56,27.04225352
2021-06-23,0.119977849,0.098024175,23.04,24.22875
2021-06-24,0.093552418,0.107390858,21.84,22.66021978
2021-06-25,0.067144112,0.080868848,21.48,20.25385475
2021-06-26,0.084469756,0.091857903,19.92,22.25638554
2021-06-27,0.058231059,0.105539687,20.64,19.57255814
2021-06-28,0.088897388,0.07414066,20.28,22.10556213
2021-06-29,0.094071217,0.116825752,21.72,21.40044199
2021-06-30,0.052439106,0.077723309,22.92,22.28858639
2021-07-01,0.066431987,0.079116225,23.52,22.80306122
2021-07-02,0.05136379,0.110531688,23.4,23.39938462
2021-07-03,0.077443061,0.05426722,23.28,23.88247423
2021-07-04,0.055644526,0.098988742,23.76,23.04484848
2021-07-05,0.048547333,0.062308859,23.52,23.57816327
2021-07-06,0.038622644,0.070059247,23.34,22.25028278
2021-07-07,0.027217892,0.077246003,22.08,21.05673913
2021-07-08,0.051287846,0.060534768,19.92,20.94939759
2021-07-09,0.114471613,0.097740658,18.9,20.67885714
2021-07-10,0.205228483,0.096640751,19.62,21.15412844
2021-07-11,0.1094708,0.161837474,21.96,20.69213115
2021-07-12,0.132344992,0.070259519,23.16,23.15471503
2021-07-13,0.219041768,0.139776766,24.42,26.28972973
2021-07-14,0.190802354,0.16123642,27.72,28.01428571
2021-07-15,0.15120589,0.079897009,31.8,30.54430189
2021-07-16,0.152665977,0.120058618,35.04,35.55719178
2021-07-17,0.151879377,0.138484612,39.18,38.74254211
2021-07-18,0.051339818,0.109555252,43.32,39.99398892
2021-07-19,0.038741541,0.078318633,44.22,43.87839891
2021-07-20,0.059722394,0.099869132,44.79,45.96747488
2021-07-21,0.058744658,0.082999654,46.56,46.83902706
2021-07-22,0.057410997,0.042328496,48.69,48.25256932
2021-07-23,0.066121069,0.053316288,50.46,49.81895957
2021-07-24,0.069282501,0.093434758,51.63,50.02019756
2021-07-25,0.045812994,0.093719639,51.18,51.56947245
2021-07-26,0.051748341,0.07856445,51.12,50.75950704
2021-07-27,0.058107781,0.064764008,50.7,48.70011834
2021-07-28,0.056017591,0.093497865,48.3,47.99180124
2021-07-29,0.065098331,0.08731629,45.72,46.36673228
2021-07-30,0.067814647,0.085478112,43.89,43.2511825
2021-07-31,0.060825942,0.074250452,41.52,40.27478324
2021-08-01,0.022095864,0.073174484,38.1,40.01612598
2021-08-02,0.019651583,0.078053147,36.72,37.07279412
2021-08-03,0.031977833,0.051191982,35.73,35.14760705
2021-08-04,0.024031447,0.037830885,34.2,33.73455263
2021-08-05,0.030420124,0.066231817,32.29,32.28293589
2021-08-06,0.04307965,0.064789601,30.48,30.15004593
2021-08-07,0.041560443,0.064317107,28.46,27.92036543
2021-08-08,0.033836872,0.087277316,26.07,26.86615267
2021-08-09,0.044806519,0.06536454,24.61,24.43863876
2021-08-10,0.061269751,0.071539223,23.07,22.97786736
2021-08-11,0.051196482,0.082995169,21.54,21.35635097
2021-08-12,0.062848144,0.097961128,19.94,19.68198596
2021-08-13,0.056677787,0.094687842,18.22,17.81686059
2021-08-14,0.057275135,0.087233379,16.28,16.44052826
2021-08-15,0,0.074913345,14.69,16.28
