stdDay,Alpha_alpha,predicted_Alpha_alpha,Alpha_Infected,predicted_Alpha_Infected
2021-06-13,0.087605822,0.063647531,5.49,2.937336914
2021-06-14,0.090405508,0.108707972,5.32,2.776147429
2021-06-15,0.021664804,0.085581087,5.55,5.195387387
2021-06-16,0.133106727,0.078231409,5.42,6.082472325
2021-06-17,0.040484931,0.113146633,5.94,5.31962963
2021-06-18,0.08249771,0.110943295,5.83,5.970566038
2021-06-19,0.061556697,0.103684805,5.86,6.088668942
2021-06-20,0.039294444,0.090688162,6.12,5.630196078
2021-06-21,0.040898356,0.095806517,5.88,6.244897959
2021-06-22,0.080160888,0.0733217,6,5.5272
2021-06-23,0.021319444,0.094082393,5.64,5.617021277
2021-06-24,0.113865294,0.079758167,5.28,6.152727273
2021-06-25,0.167003012,0.097214222,5.76,5.39
2021-06-26,0.245393546,0.088900849,5.88,6.817959184
2021-06-27,0.120934898,0.105233431,6.96,6.184137931
2021-06-28,0.032853668,0.069351375,7.32,6.731803279
2021-06-29,0.101902198,0.086377665,7.08,7.940338983
2021-06-30,0.109598394,0.088504307,7.68,7.190625
2021-07-01,0.030832226,0.082727462,7.8,7.68
2021-07-02,0.046248403,0.079260483,7.8,7.68
2021-07-03,0.046971132,0.08267533,7.68,7.8
2021-07-04,0.054799769,0.091716051,7.68,7.86
2021-07-05,0.030597184,0.077084653,7.86,7.68
2021-07-06,0.084142491,0.087060995,7.86,8.04
2021-07-07,0.014956242,0.096471027,8.04,7.86
2021-07-08,0.029912527,0.092975952,8.04,7.68
2021-07-09,0.164402507,0.088682055,7.68,8.3540625
2021-07-10,0.173293251,0.086614065,7.98,7.622255639
2021-07-11,0.106283661,0.085427895,7.92,7.98
2021-07-12,0.068325876,0.094253153,7.92,8.22
2021-07-13,0.109721072,0.088228315,8.22,8.093430657
2021-07-14,0.150319436,0.088730767,8.4,8.631
2021-07-15,0.156798074,0.092585973,8.82,9.485714286
2021-07-16,0.072445319,0.092122406,9.96,9.138795181
2021-07-17,0.134010918,0.085368082,10.32,10.9444186
2021-07-18,0.03711795,0.095874727,11.34,10.32
2021-07-19,0.066282698,0.078778461,11.34,11.85
2021-07-20,0.058356638,0.104197375,11.85,11.36870886
2021-07-21,0.027839663,0.08055567,11.88,12.0594697
2021-07-22,0.022382431,0.091308743,12.09,11.90947891
2021-07-23,0.022327169,0.073808305,12.12,11.1024505
2021-07-24,0.035119205,0.078257747,11.13,11.0419407
2021-07-25,0.05337464,0.088019334,10.14,10.80071006
2021-07-26,0.070281106,0.09058661,9.84,10.29457317
2021-07-27,0.08126641,0.092700891,9.99,9.751351351
2021-07-28,0.118454173,0.08541289,9.9,9.899181818
2021-07-29,0.076630867,0.103352197,9.81,9.264220183
2021-07-30,0.072064319,0.088748753,9.18,9.745882353
2021-07-31,0.046161523,0.103770897,9.12,8.213684211
2021-08-01,0.020882797,0.082583554,8.16,8.840588235
2021-08-02,0.022810304,0.078823045,7.91,7.571984829
2021-08-03,0.021850652,0.084458403,7.34,7.338841962
2021-08-04,0.025023447,0.077223189,6.81,7.167547724
2021-08-05,0.021103614,0.067096278,6.65,6.67687218
2021-08-06,0.027674488,0.060273852,6.52,6.558205521
2021-08-07,0.049888349,0.070867747,6.43,6.449020218
2021-08-08,0.029947893,0.074685566,6.36,6.076147799
2021-08-09,0.025020289,0.071235217,6.01,5.788552413
2021-08-10,0.036654115,0.072179966,5.47,5.339780622
2021-08-11,0.041255308,0.080150776,4.86,4.378251029
2021-08-12,0.038657504,0.075866677,3.89,4.110385604
2021-08-13,0.051802379,0.063108541,3.29,3.310638298
2021-08-14,0.103834526,0.063909478,2.8,3.13725
2021-08-15,0,0.062477089,2.67,2.8
