,Alpha_origin,Alpha_Predicted
2021-06-13,0.6,0.6745615
2021-06-14,1.0799999,1.0623646
2021-06-15,0.72,0.7413994
2021-06-16,1.0799999,1.1028653
2021-06-17,0.96,0.9708642
2021-06-18,0.72,0.8001015
2021-06-19,0.84,0.8610891
2021-06-20,0.24,0.25517124
2021-06-21,0.36,0.34899765
2021-06-22,0.12,0.070743255
2021-06-23,0.0,-0.059298214
2021-06-24,0.48,0.42583844
2021-06-25,0.6,0.5431137
2021-06-26,1.0799999,1.0104887
2021-06-27,0.24,0.18115512
2021-06-28,0.24,0.18398964
2021-06-29,0.72,0.6913892
2021-06-30,0.24,0.19782649
2021-07-01,0.12,0.09957703
2021-07-02,0.36,0.3112022
2021-07-03,0.48,0.4490424
2021-07-04,0.24,0.28792477
2021-07-05,0.36,0.3961863
2021-07-06,0.3,0.2997245
2021-07-07,1.14,1.1932753
2021-07-08,1.02,1.0553908
2021-07-09,1.86,1.8718296
2021-07-10,0.6,0.59279305
2021-07-11,1.44,1.4011452
2021-07-12,0.42,0.37841493
2021-07-13,1.14,1.1407062
2021-07-14,1.26,1.2114459
2021-07-15,0.53999996,0.47242793
2021-07-16,0.6,0.6139667
2021-07-17,0.84,0.841581
2021-07-18,0.65999997,0.6515689
2021-07-19,0.32999998,0.2897921
2021-07-20,0.24,0.24368352
2021-07-21,1.02,1.0241755
2021-07-22,0.72,0.7953858
2021-07-23,0.87,0.8693745
2021-07-24,0.45,0.39515495
2021-07-25,0.42,0.37904224
2021-07-26,0.36,0.31572303
2021-07-27,0.51,0.49055627
2021-07-28,0.69,0.64939225
2021-07-29,0.72,0.6601201
2021-07-30,0.53999996,0.6193577
2021-07-31,0.78000003,0.6873572
2021-08-01,0.6,0.54105335
2021-08-02,0.12,0.11544928
2021-08-03,0.21,0.15859579
2021-08-04,0.23,0.22293498
2021-08-05,0.24,0.21850619
2021-08-06,0.16,0.12642866
2021-08-07,0.13,0.112796016
2021-08-08,0.05,0.016320392
2021-08-09,0.11,0.07594265
2021-08-10,0.12,0.17409614
2021-08-11,0.28,0.14025535
2021-08-12,0.23,0.351707
2021-08-13,0.44,0.47067127
2021-08-14,0.55,0.6322844
2021-08-15,0.38,0.5031015
