Date,Actual_Data,Predicted_Data
2022-12-19,9.73,9.73
2022-12-20,45.98,45.98
2022-12-21,82.14000000000001,82.14000000000001
2022-12-22,114.11,114.11
2022-12-23,140.68,140.68
2022-12-24,168.96,168.96
2022-12-25,193.82,193.82
2022-12-26,192.54,192.54
2022-12-27,190.93,190.93
2022-12-28,189.99,189.99
2022-12-29,184.5,184.5
2022-12-30,184.96,184.96
2022-12-31,182.79,182.79
2023-01-01,182.7,182.7
2023-01-02,180.19000000000003,180.19000000000003
2023-01-03,176.18,176.18
2023-01-04,172.46000000000004,172.46000000000004
2023-01-05,173.12,173.12
2023-01-06,167.57000000000005,167.57000000000005
2023-01-07,161.52999999999997,161.52999999999997
2023-01-08,156.89999999999998,156.89999999999998
2023-01-09,156.59000000000003,156.59000000000003
2023-01-10,149.93999999999994,149.93999999999994
2023-01-11,142.20999999999992,142.20999999999992
2023-01-12,134.0,134.0
2023-01-13,129.76,129.76
2023-01-14,125.05000000000008,125.05000000000008
2023-01-15,120.13000000000012,120.13000000000012
2023-01-16,120.41999999999996,120.41999999999996
2023-01-17,113.20000000000005,113.20000000000005
2023-01-18,106.83000000000004,106.83000000000004
2023-01-19,101.45000000000005,101.45000000000005
2023-01-20,96.89,96.89
2023-01-21,94.53999999999996,94.53999999999996
2023-01-22,89.59999999999991,89.59999999999991
2023-01-23,87.10000000000002,87.10000000000002
2023-01-24,75.53999999999996,75.53999999999996
2023-01-25,69.02999999999997,69.02999999999997
2023-01-26,69.63999999999999,69.63999999999999
2023-01-27,72.95000000000005,72.95000000000005
2023-01-28,71.74000000000001,71.74000000000001
2023-01-29,72.78000000000009,72.78000000000009
2023-01-30,79.01999999999998,79.01999999999998
2023-01-31,101.63,101.63
2023-02-01,123.1400000000001,123.1400000000001
2023-02-02,136.45999999999992,136.45999999999992
2023-02-03,146.14999999999998,146.14999999999998
2023-02-04,158.01999999999998,158.01999999999998
2023-02-05,172.55999999999997,172.55999999999997
2023-02-06,171.72000000000003,171.72000000000003
2023-02-07,169.44000000000003,169.44000000000003
2023-02-08,166.70999999999992,166.70999999999992
2023-02-09,163.82999999999993,163.82999999999993
2023-02-10,161.27999999999997,161.27999999999997
2023-02-11,159.95999999999992,159.95999999999992
2023-02-12,151.95000000000005,151.95000000000005
2023-02-13,174.33000000000004,174.33000000000004
2023-02-14,211.6,211.6
2023-02-15,249.53,249.53
2023-02-16,279.57000000000016,279.57000000000016
2023-02-17,304.28,304.28
2023-02-18,325.0500000000002,325.0500000000002
2023-02-19,352.39999999999986,352.39999999999986
2023-02-20,339.28,339.28
2023-02-21,321.68000000000006,321.68000000000006
2023-02-22,302.24,302.24
2023-02-23,288.31999999999994,288.31999999999994
2023-02-24,285.04,285.04
2023-02-25,282.24,282.24
2023-02-26,265.44000000000005,265.44000000000005
2023-02-27,283.51,283.51
2023-02-28,314.3599999999999,314.3599999999999
2023-03-01,347.35000000000014,347.35000000000014
2023-03-02,357.48,357.48
2023-03-03,378.02,378.02
2023-03-04,413.1500000000001,413.1500000000001
2023-03-05,461.7000000000001,461.7000000000001
2023-03-06,425.55,425.55
2023-03-07,445.6500000000001,445.6500000000001
2023-03-08,449.0999999999999,449.0999999999999
2023-03-09,468.5999999999999,468.5999999999999
2023-03-10,464.8499999999999,464.8499999999999
2023-03-11,451.6499999999997,451.6499999999997
2023-03-12,428.5500000000002,428.5500000000002
2023-03-13,490.6100000000001,490.6100000000001
2023-03-14,544.3899999999999,544.3899999999999
2023-03-15,583.6199999999999,583.6199999999999
2023-03-16,625.21,625.21
2023-03-17,678.4100000000003,678.4100000000003
2023-03-18,725.7800000000002,725.7800000000002
2023-03-19,796.3399999999997,796.3399999999997
2023-03-20,766.7599999999998,766.7599999999998
2023-03-21,771.98,771.98
2023-03-22,793.1500000000001,793.1500000000001
2023-03-23,796.9200000000001,796.9200000000001
2023-03-24,798.3699999999999,798.3699999999999
2023-03-25,790.8299999999999,790.8299999999999
2023-03-26,772.8500000000004,772.8500000000004
2023-03-27,793.27,793.27
2023-03-28,842.8199999999997,842.8199999999997
2023-03-29,889.1800000000003,889.1800000000003
2023-03-30,944.13,944.13
2023-03-31,998.33,998.33
2023-04-01,1067.37,1067.37
2023-04-02,1128.38,1128.38
2023-04-03,1141.7200000000005,1141.7200000000005
2023-04-04,1126.08,1126.08
2023-04-05,1162.88,1162.88
2023-04-06,1163.8000000000002,1163.8000000000002
2023-04-07,1148.62,1148.62
2023-04-08,1121.4800000000005,1121.4800000000005
2023-04-09,1102.16,1102.16
2023-04-10,1086.3199999999997,1086.3199999999997
2023-04-11,1108.38,1108.38
2023-04-12,1105.8999999999996,1105.8999999999996
2023-04-13,1124.7199999999991,1124.7199999999991
2023-04-14,1153.38,1153.38
2023-04-15,1205.96,1205.96
2023-04-16,1219.12,1219.12
2023-04-17,1224.1600000000008,1224.1600000000008
2023-04-18,1256.6400000000003,1256.6400000000003
2023-04-19,1318.2400000000007,1318.2400000000007
2023-04-20,1351.2799999999995,1351.2799999999995
2023-04-21,1415.12,1388.5050959239131
2023-04-22,1495.2000000000007,1476.7015141372904
2023-04-23,1520.96,1616.7212000030738
2023-04-24,1573.04,1853.8814417078727
2023-04-25,1604.0,1671.7096079522669
2023-04-26,1591.2799999999988,1743.6829896793556
2023-04-27,1621.2800000000009,1951.4685044688622
2023-04-28,1616.3199999999997,1977.9487010978373
2023-04-29,1628.9599999999991,1911.1699772004195
2023-04-30,1695.3600000000006,1968.380493918115
2023-05-01,1665.92,2200.5976440570435
