,22D_origin,22D_Predicted
2023-02-19,318.96,332.4802
2023-02-20,105.119995,97.24028
2023-02-21,300.24,300.18185
2023-02-22,396.72,394.01834
2023-02-23,309.6,311.5367
2023-02-24,287.28,291.9998
2023-02-25,285.12,283.20047
2023-02-26,271.44,284.2859
2023-02-27,105.19,107.61416
2023-02-28,271.35,275.69632
2023-03-01,343.03998,337.31195
2023-03-02,249.23999,256.86182
2023-03-03,260.63,262.39313
2023-03-04,288.77002,288.671
2023-03-05,258.62,280.89258
2023-03-06,122.61,125.61251
2023-03-07,326.29,318.99078
2023-03-08,348.4,345.78583
2023-03-09,321.59998,321.23288
2023-03-10,276.04,281.87842
2023-03-11,276.71,279.62268
2023-03-12,255.27,258.90717
2023-03-13,81.200005,80.62268
2023-03-14,255.36002,253.8879
2023-03-15,243.04001,241.21803
2023-03-16,222.88,215.2132
2023-03-17,198.79999,201.44165
2023-03-18,169.68001,170.2082
2023-03-19,194.88,197.17686
2023-03-20,0.0,-4.3343635
2023-03-21,348.88,344.49188
2023-03-22,268.24,267.4144
2023-03-23,268.8,272.30356
2023-03-24,217.28,224.80858
2023-03-25,222.88,226.24126
2023-03-26,180.31999,188.68205
2023-03-27,54.6,49.444542
2023-03-28,180.56999,181.06798
2023-03-29,212.55,214.29195
2023-03-30,185.64,190.23886
2023-03-31,169.65001,169.9833
2023-04-01,155.22,160.34982
2023-04-02,154.44,158.497
2023-04-03,60.06,50.290596
2023-04-04,212.16,215.46455
2023-04-05,232.43999,230.96783
2023-04-06,209.04001,213.935
2023-04-07,189.15,184.38368
2023-04-08,179.4,178.59557
2023-04-09,161.07,157.91707
2023-04-10,38.74,34.690826
2023-04-11,121.420006,115.485435
2023-04-12,155.22,153.47829
2023-04-13,146.9,142.14194
2023-04-14,133.12001,128.42427
2023-04-15,121.16,117.75963
2023-04-16,116.48,122.79074
2023-04-17,55.899998,49.9491
2023-04-18,143.0,138.85016
2023-04-19,193.18001,184.87616
2023-04-20,152.87999,153.15727
2023-04-21,146.38,149.74785
2023-04-22,132.34,135.69461
2023-04-23,137.01999,134.41777
2023-04-24,44.27,42.4927
2023-04-25,107.54,103.79077
2023-04-26,120.08,117.92665
2023-04-27,100.32,102.49489
2023-04-28,106.21,104.111824
2023-04-29,101.08,99.04724
2023-04-30,99.18,108.42145
2023-05-01,41.23,49.459473
2023-05-02,120.840004,122.73491
2023-05-03,155.42,153.19708
2023-05-04,148.77,135.18422
