,23A_origin,23A_Predicted
2023-02-19,35.44,25.061535
2023-02-20,11.68,26.39572
2023-02-21,33.359997,34.1163
2023-02-22,44.079998,38.43221
2023-02-23,34.4,37.515026
2023-02-24,31.92,36.63732
2023-02-25,31.68,36.562218
2023-02-26,30.16,29.851898
2023-02-27,23.55,28.888407
2023-02-28,60.75,59.920944
2023-03-01,76.799995,62.613346
2023-03-02,55.800003,58.407803
2023-03-03,58.35,54.83599
2023-03-04,64.65,53.599842
2023-03-05,57.899998,48.61175
2023-03-06,27.45,28.621672
2023-03-07,73.05,72.871414
2023-03-08,78.0,79.42547
2023-03-09,72.0,70.25392
2023-03-10,61.8,65.04364
2023-03-11,61.949997,64.69996
2023-03-12,57.15,55.062214
2023-03-13,42.05,23.451265
2023-03-14,132.24,123.6942
2023-03-15,125.86,120.42083
2023-03-16,115.42,106.132256
2023-03-17,102.95,96.808266
2023-03-18,87.87,92.81996
2023-03-19,100.92,85.44281
2023-03-20,0.0,28.197216
2023-03-21,180.67,157.13617
2023-03-22,138.91,150.69951
2023-03-23,139.2,130.2518
2023-03-24,112.52,120.56421
2023-03-25,115.42,117.05424
2023-03-26,93.38,92.37374
2023-03-27,64.4,26.019318
2023-03-28,212.98,211.56923
2023-03-29,250.70001,250.96312
2023-03-30,218.96,221.22484
2023-03-31,200.1,197.67172
2023-04-01,183.08,186.08667
2023-04-02,182.16,175.94621
2023-04-03,70.84,63.740192
2023-04-04,250.23999,244.69142
2023-04-05,274.16,287.2165
2023-04-06,246.56,244.84966
2023-04-07,223.09999,223.80544
2023-04-08,211.6,211.7993
2023-04-09,189.98001,189.40605
2023-04-10,83.44,80.059006
2023-04-11,261.52,277.25464
2023-04-12,334.32,355.18463
2023-04-13,316.4,304.77368
2023-04-14,286.72,275.65527
2023-04-15,260.96,259.37076
2023-04-16,250.88,236.26202
2023-04-17,120.4,110.861336
2023-04-18,308.0,306.67343
2023-04-19,416.08,398.89694
2023-04-20,329.28,343.35104
2023-04-21,315.28,311.29443
2023-04-22,285.04,290.80905
2023-04-23,295.12,263.55118
2023-04-24,149.12001,137.06154
2023-04-25,362.24,328.98566
2023-04-26,404.48,431.7815
2023-04-27,337.91998,368.78516
2023-04-28,357.76,336.80157
2023-04-29,340.47998,321.1993
2023-04-30,334.08,305.0379
2023-05-01,138.88,164.62115
2023-05-02,407.04,370.23645
2023-05-03,523.52,456.72006
2023-05-04,501.12,384.95743
