,Alpha_origin,Alpha_Predicted
2021-06-13,1.2,0.954578
2021-06-14,0.84000003,0.93768007
2021-06-15,0.84000003,0.9707891
2021-06-16,0.96000004,0.8885404
2021-06-17,0.6,0.963011
2021-06-18,0.84000003,0.8437058
2021-06-19,1.44,0.94598234
2021-06-20,1.2,0.9496816
2021-06-21,1.32,1.0685844
2021-06-22,1.44,1.1545883
2021-06-23,1.08,1.2035464
2021-06-24,0.84000003,1.243073
2021-06-25,0.48000002,1.3516037
2021-06-26,0.84000003,1.3989109
2021-06-27,2.88,1.4066978
2021-06-28,0.96000004,1.2474579
2021-06-29,1.32,1.3909482
2021-06-30,0.96000004,1.421465
2021-07-01,1.8,1.3973781
2021-07-02,3.2400002,1.4453812
2021-07-03,1.92,1.559079
2021-07-04,0.84000003,1.5196513
2021-07-05,0.72,1.6843253
2021-07-06,0.78000003,1.7098559
2021-07-07,0.96000004,2.0416281
2021-07-08,4.6800003,2.394169
2021-07-09,3.1200001,2.4990716
2021-07-10,1.74,2.5957754
2021-07-11,1.92,2.6398137
2021-07-12,2.6999998,2.775023
2021-07-13,2.16,2.7046273
2021-07-14,2.16,2.6148043
2021-07-15,3.0600002,2.6779926
2021-07-16,2.34,2.4678972
2021-07-17,3.1200001,2.3514607
2021-07-18,2.3999999,2.1639714
2021-07-19,0.99,1.8864309
2021-07-20,0.9,1.5833527
2021-07-21,1.4699999,1.2520806
2021-07-22,1.17,1.2641525
2021-07-23,0.84000003,1.1002444
2021-07-24,1.17,1.135775
2021-07-25,1.4100001,1.1063404
2021-07-26,1.9499999,1.1014291
2021-07-27,1.14,1.0938823
2021-07-28,0.93,1.0751607
2021-07-29,1.4100001,1.0612905
2021-07-30,1.11,1.0384915
2021-07-31,1.89,1.01162
2021-08-01,1.38,0.96923107
2021-08-02,0.38000003,0.93614787
2021-08-03,0.51,0.8893051
2021-08-04,0.55,0.85364234
2021-08-05,0.71000004,0.8147414
2021-08-06,0.53000003,0.7788711
2021-08-07,0.54,0.7383091
2021-08-08,0.86,0.72133505
2021-08-09,0.68,0.6957784
2021-08-10,0.66,0.67399883
2021-08-11,0.86,0.66828674
2021-08-12,0.85,0.66262525
2021-08-13,0.72,0.6467811
2021-08-14,0.64,0.6535492
2021-08-15,0.62000006,0.6556654
