,Delta_origin,Delta_Predicted
2021-06-13,1.12,0.38876235
2021-06-14,1.82,0.3555546
2021-06-15,0.42000002,0.37287915
2021-06-16,0.97999996,0.37260947
2021-06-17,0.7,0.35230446
2021-06-18,1.96,0.3938573
2021-06-19,1.54,0.35675156
2021-06-20,1.54,0.37803784
2021-06-21,5.07,0.36599973
2021-06-22,4.29,0.3880946
2021-06-23,7.02,0.38640058
2021-06-24,8.97,0.45481908
2021-06-25,6.63,0.37868887
2021-06-26,4.68,0.6012845
2021-06-27,5.46,0.980541
2021-06-28,3.8999999,2.1721523
2021-06-29,5.8500004,1.7300345
2021-06-30,6.63,1.3770573
2021-07-01,3.8999999,3.4965715
2021-07-02,5.07,4.2954273
2021-07-03,3.8999999,2.1658106
2021-07-04,5.8500004,3.3449657
2021-07-05,12.98,2.7800665
2021-07-06,11.21,7.471189
2021-07-07,8.849999,5.9729896
2021-07-08,5.9,7.583652
2021-07-09,10.03,7.567642
2021-07-10,21.240002,7.7388086
2021-07-11,39.53,10.0653305
2021-07-12,23.6,10.596565
2021-07-13,30.090002,10.921575
2021-07-14,52.51,11.312952
2021-07-15,51.92,11.94206
2021-07-16,47.2,12.678557
2021-07-17,52.51,13.662967
2021-07-18,58.41,14.832626
2021-07-19,56.980003,16.221544
2021-07-20,43.89,17.076403
2021-07-21,68.53,17.607077
2021-07-22,70.07,17.463215
2021-07-23,71.61,16.977716
2021-07-24,85.47,16.55629
2021-07-25,91.630005,16.190805
2021-07-26,60.06,15.916282
2021-07-27,67.76,15.820626
2021-07-28,75.46,15.964649
2021-07-29,69.3,16.377762
2021-07-30,76.23,17.350653
2021-07-31,76.23,18.756039
2021-08-01,64.68,20.360657
2021-08-02,79.799995,22.079317
2021-08-03,68.399994,23.845022
2021-08-04,108.3,25.564638
2021-08-05,77.9,27.148737
2021-08-06,93.1,28.593693
2021-08-07,124.450005,29.700464
2021-08-08,112.1,30.64895
2021-08-09,83.6,31.430471
2021-08-10,104.5,32.185978
2021-08-11,133.95,32.88146
2021-08-12,104.5,33.477562
2021-08-13,118.75,34.16416
2021-08-14,97.85,34.716713
2021-08-15,88.350006,35.173454
