,Alpha_origin,Alpha_Predicted
2021-06-13,0.36,0.4961227
2021-06-14,0.48000002,0.5336444
2021-06-15,0.48000002,0.54864115
2021-06-16,0.120000005,0.5778562
2021-06-17,0.71999997,0.59765327
2021-06-18,0.24000001,0.62311554
2021-06-19,0.48000002,0.6483734
2021-06-20,0.36,0.655107
2021-06-21,0.24000001,0.669514
2021-06-22,0.24000001,0.67354333
2021-06-23,0.48000002,0.6766229
2021-06-24,0.120000005,0.6787149
2021-06-25,0.59999996,0.68210006
2021-06-26,0.96,0.6677764
2021-06-27,1.44,0.6605547
2021-06-28,0.84,0.6346997
2021-06-29,0.24000001,0.64588743
2021-06-30,0.71999997,0.63487446
2021-07-01,0.84,0.60051596
2021-07-02,0.24000001,0.6002814
2021-07-03,0.36,0.61716753
2021-07-04,0.36,0.59297335
2021-07-05,0.42000002,0.61459565
2021-07-06,0.24000001,0.6283819
2021-07-07,0.65999997,0.6762032
2021-07-08,0.120000005,0.65769315
2021-07-09,0.24000001,0.7177898
2021-07-10,1.2599999,0.5561707
2021-07-11,1.38,0.23123996
2021-07-12,0.84,0.3183849
2021-07-13,0.53999996,0.49297282
2021-07-14,0.9,0.649191
2021-07-15,1.2599999,0.7894703
2021-07-16,1.38,1.0892837
2021-07-17,0.71999997,1.5896266
2021-07-18,1.38,1.6354421
2021-07-19,0.42000002,1.4388105
2021-07-20,0.74999994,1.2932097
2021-07-21,0.69,0.99352604
2021-07-22,0.32999998,0.9961245
2021-07-23,0.26999998,1.0307436
2021-07-24,0.26999998,1.1036438
2021-07-25,0.39,1.1262945
2021-07-26,0.53999996,1.0873097
2021-07-27,0.69,0.9977549
2021-07-28,0.81,0.908592
2021-07-29,1.17,0.88496315
2021-07-30,0.74999994,0.97101617
2021-07-31,0.65999997,1.099122
2021-08-01,0.42000002,1.1453506
2021-08-02,0.17,1.0508946
2021-08-03,0.18,0.91839457
2021-08-04,0.16,0.80993193
2021-08-05,0.17,0.7479452
2021-08-06,0.14,0.708585
2021-08-07,0.18,0.6861592
2021-08-08,0.32,0.6737862
2021-08-09,0.19,0.6520813
2021-08-10,0.15,0.43894547
2021-08-11,0.2,0.3183703
2021-08-12,0.2,0.2225054
2021-08-13,0.15,0.246303
2021-08-14,0.17,0.32806495
2021-08-15,0.29,0.40733767
