stdDay,Alpha_origin,Alpha_Predicted
2021-06-13,1.8000001,1.782457
2021-06-14,2.3999999,2.386793
2021-06-15,1.9200001,1.9037647
2021-06-16,1.9200001,1.9011781
2021-06-17,0.84,0.82392347
2021-06-18,1.3199999,1.2999659
2021-06-19,1.56,1.5404522
2021-06-20,1.9200001,1.9001014
2021-06-21,2.1599998,2.141593
2021-06-22,0.35999998,0.34929496
2021-06-23,0.84,0.8214744
2021-06-24,0.35999998,0.3439696
2021-06-25,0.59999996,0.5792195
2021-06-26,1.56,1.5396866
2021-06-27,0.96000004,0.94420457
2021-06-28,0.59999996,0.583587
2021-06-29,0.96000004,0.9418279
2021-06-30,1.3199999,1.3028055
2021-07-01,0.84,0.8237854
2021-07-02,1.0799999,1.0614855
2021-07-03,0.96000004,0.9427663
2021-07-04,0.35999998,0.35015577
2021-07-05,0.35999998,0.35187432
2021-07-06,0.48000002,0.4694814
2021-07-07,0.78,0.7630696
2021-07-08,0.90000004,0.8839379
2021-07-09,1.14,1.1193914
2021-07-10,0.84,0.8226883
2021-07-11,1.38,1.3605269
2021-07-12,2.22,2.2041485
2021-07-13,2.28,2.2671947
2021-07-14,3.12,3.1095471
2021-07-15,3.06,3.04774
2021-07-16,1.9200001,1.9042358
2021-07-17,1.74,1.7225214
2021-07-18,2.52,2.507464
2021-07-19,0.99,0.97765625
2021-07-20,0.90000004,0.88532394
2021-07-21,1.05,1.031431
2021-07-22,1.14,1.1229228
2021-07-23,1.8000001,1.7806956
2021-07-24,1.56,1.5462886
2021-07-25,2.07,2.0503032
2021-07-26,1.8000001,1.7862852
2021-07-27,2.07,2.048215
2021-07-28,1.65,1.6352036
2021-07-29,1.68,1.6612899
2021-07-30,1.86,1.846528
2021-07-31,1.38,1.3583372
2021-08-01,0.69,0.67658234
2021-08-02,0.26,0.26220086
2021-08-03,0.37,0.36302567
2021-08-04,0.75,0.731392
2021-08-05,1.2099999,1.1849658
2021-08-06,0.84,0.8234564
2021-08-07,0.68,0.6710571
2021-08-08,0.63,0.6148496
2021-08-09,0.86,0.81981033
2021-08-10,0.8,0.79343265
2021-08-11,0.65999997,0.768985
2021-08-12,0.39,0.5422699
2021-08-13,0.57,0.09778746
2021-08-14,0.82,0.12633184
2021-08-15,0.57,0.11804724
