stdDay,Alpha_origin,Alpha_Predicted
2021-06-13,17.88,17.845783
2021-06-14,14.640001,14.603018
2021-06-15,14.4,14.359916
2021-06-16,22.800001,22.771496
2021-06-17,21.960001,21.924856
2021-06-18,18.36,18.315018
2021-06-19,17.400002,17.359037
2021-06-20,13.56,13.518086
2021-06-21,10.92,10.880292
2021-06-22,11.040001,10.988538
2021-06-23,22.92,22.873642
2021-06-24,22.199999,22.146181
2021-06-25,21.960001,21.908283
2021-06-26,22.56,22.507156
2021-06-27,20.759998,20.714104
2021-06-28,19.439999,19.390106
2021-06-29,27.6,27.562159
2021-06-30,28.8,28.770105
2021-07-01,29.880001,29.84997
2021-07-02,31.68,31.656408
2021-07-03,30.24,30.206505
2021-07-04,27.720001,27.681602
2021-07-05,13.200001,13.175801
2021-07-06,13.74,13.699452
2021-07-07,22.02,21.989271
2021-07-08,23.52,23.490107
2021-07-09,24.3,24.26387
2021-07-10,27.060001,27.028364
2021-07-11,24.42,24.391678
2021-07-12,19.62,19.5886
2021-07-13,19.08,19.04941
2021-07-14,27.84,27.808495
2021-07-15,29.76,29.73034
2021-07-16,27.36,27.333483
2021-07-17,23.580002,23.563828
2021-07-18,22.38,22.352482
2021-07-19,10.2,10.181697
2021-07-20,11.49,11.458233
2021-07-21,13.95,13.923024
2021-07-22,11.19,11.163034
2021-07-23,12.450001,12.420544
2021-07-24,13.920001,13.894222
2021-07-25,9.6,9.5792675
2021-07-26,10.5,10.477092
2021-07-27,11.19,11.161916
2021-07-28,16.68,16.65435
2021-07-29,14.07,14.049108
2021-07-30,15.72,15.697648
2021-07-31,11.849999,11.831428
2021-08-01,12.179999,12.138005
2021-08-02,3.3700001,3.352113
2021-08-03,3.6,3.5824144
2021-08-04,4.87,4.8461156
2021-08-05,4.8599997,4.8360176
2021-08-06,4.62,4.594152
2021-08-07,5.14,5.111373
2021-08-08,4.62,4.5961
2021-08-09,4.08,3.4365964
2021-08-10,4.2,6.2165084
2021-08-11,6.66,11.422062
2021-08-12,5.7499995,11.079985
2021-08-13,5.4,10.0495825
2021-08-14,5.73,9.496059
2021-08-15,5.1,5.7758865
