stdDay,Alpha_origin,Alpha_Predicted
2021-06-13,0.36,0.3742176
2021-06-14,0.48000002,0.50145626
2021-06-15,0.48000002,0.5024319
2021-06-16,0.120000005,0.13764831
2021-06-17,0.71999997,0.7440546
2021-06-18,0.24000001,0.2598307
2021-06-19,0.48000002,0.5116
2021-06-20,0.36,0.3871777
2021-06-21,0.24000001,0.27132568
2021-06-22,0.24000001,0.26731822
2021-06-23,0.48000002,0.52250344
2021-06-24,0.120000005,0.14377354
2021-06-25,0.59999996,0.6443054
2021-06-26,0.96,1.0110705
2021-06-27,1.44,1.4746528
2021-06-28,0.84,0.8914886
2021-06-29,0.24000001,0.26665902
2021-06-30,0.71999997,0.77224433
2021-07-01,0.84,0.892838
2021-07-02,0.24000001,0.2670145
2021-07-03,0.36,0.39555693
2021-07-04,0.36,0.38684052
2021-07-05,0.42000002,0.46171895
2021-07-06,0.24000001,0.27006876
2021-07-07,0.65999997,0.71518093
2021-07-08,0.120000005,0.14722116
2021-07-09,0.24000001,0.27863884
2021-07-10,1.2599999,1.3111706
2021-07-11,1.38,1.4336756
2021-07-12,0.84,0.8915121
2021-07-13,0.53999996,0.58942646
2021-07-14,0.9,0.9479183
2021-07-15,1.2599999,1.3102102
2021-07-16,1.38,1.4280978
2021-07-17,0.71999997,0.7667393
2021-07-18,1.38,1.4043205
2021-07-19,0.42000002,0.45714697
2021-07-20,0.74999994,0.7853796
2021-07-21,0.69,0.7253037
2021-07-22,0.32999998,0.3610445
2021-07-23,0.26999998,0.29768795
2021-07-24,0.26999998,0.29894137
2021-07-25,0.39,0.42366323
2021-07-26,0.53999996,0.57297075
2021-07-27,0.69,0.72142696
2021-07-28,0.81,0.84343
2021-07-29,1.17,1.1962426
2021-07-30,0.74999994,0.7823365
2021-07-31,0.65999997,0.69359523
2021-08-01,0.42000002,0.45250404
2021-08-02,0.17,0.18920435
2021-08-03,0.18,0.1975403
2021-08-04,0.16,0.17724563
2021-08-05,0.17,0.18568881
2021-08-06,0.14,0.1553171
2021-08-07,0.18,0.19822694
2021-08-08,0.32,0.34736967
2021-08-09,0.19,0.29131916
2021-08-10,0.15,0.4958985
2021-08-11,0.2,0.45351866
2021-08-12,0.2,0.6190538
2021-08-13,0.15,0.57353014
2021-08-14,0.17,0.48943016
2021-08-15,0.29,0.6646851
