,Alpha_origin,Alpha_Predicted
2021-06-13,1.5600001,1.5466264
2021-06-14,2.04,2.0802395
2021-06-15,1.08,1.0545453
2021-06-16,1.9200001,2.030641
2021-06-17,2.04,2.1646583
2021-06-18,1.2,1.1669948
2021-06-19,2.16,2.2803142
2021-06-20,2.52,2.657391
2021-06-21,1.68,1.6876777
2021-06-22,0.71999997,0.7141709
2021-06-23,1.9200001,2.1016486
2021-06-24,2.4,2.57177
2021-06-25,3.24,3.4710002
2021-06-26,3.72,4.036774
2021-06-27,1.4399999,1.5144111
2021-06-28,4.56,5.070514
2021-06-29,1.08,0.98675734
2021-06-30,1.68,1.7780222
2021-07-01,2.16,2.333376
2021-07-02,3.48,3.6494472
2021-07-03,4.6800003,5.220785
2021-07-04,3.36,3.540018
2021-07-05,1.5,1.437961
2021-07-06,1.74,1.7666348
2021-07-07,2.04,2.0219088
2021-07-08,3.3000002,3.5177016
2021-07-09,3.48,3.7086124
2021-07-10,3.66,3.842331
2021-07-11,3.36,3.5025492
2021-07-12,2.64,2.7653842
2021-07-13,3.0,3.1619782
2021-07-14,3.7799997,3.943224
2021-07-15,3.8999999,4.1255465
2021-07-16,3.0,2.963458
2021-07-17,3.72,4.092147
2021-07-18,4.2,4.6297956
2021-07-19,1.9499999,1.9278574
2021-07-20,1.47,1.4566877
2021-07-21,3.06,3.16461
2021-07-22,3.1200001,3.167158
2021-07-23,3.48,3.7025483
2021-07-24,3.48,3.6596222
2021-07-25,3.24,3.4422352
2021-07-26,2.67,2.7231905
2021-07-27,1.9799999,1.9759676
2021-07-28,3.06,3.107639
2021-07-29,2.46,2.495853
2021-07-30,2.3400002,2.435463
2021-07-31,2.16,2.250903
2021-08-01,1.74,1.7026379
2021-08-02,0.71999997,0.62246215
2021-08-03,0.69,0.71876705
2021-08-04,1.11,1.1012427
2021-08-05,1.12,1.0502594
2021-08-06,1.07,1.0242294
2021-08-07,1.46,1.4963857
2021-08-08,1.47,1.4455959
2021-08-09,1.23,1.2504387
2021-08-10,1.05,1.134148
2021-08-11,1.26,1.2284346
2021-08-12,1.32,1.3894724
2021-08-13,1.8000001,1.6268152
2021-08-14,1.53,1.4904864
2021-08-15,1.5600001,1.5888114
