,22D_origin,22D_Predicted
2023-02-19,457.19998,564.23413
2023-02-20,144.72,241.2511
2023-02-21,624.95996,744.35175
2023-02-22,577.44,694.33514
2023-02-23,431.27997,541.0941
2023-02-24,480.24,579.2139
2023-02-25,439.91998,539.60223
2023-02-26,387.36,484.87628
2023-02-27,146.06,234.14935
2023-02-28,491.78,600.09283
2023-03-01,460.96,565.7194
2023-03-02,287.42996,376.35324
2023-03-03,429.46997,517.43695
2023-03-04,418.08,498.23694
2023-03-05,370.50998,452.30817
2023-03-06,116.58,195.95676
2023-03-07,471.68,548.7799
2023-03-08,458.94998,532.2682
2023-03-09,386.58997,457.81097
2023-03-10,356.44,417.49448
2023-03-11,288.09998,350.2586
2023-03-12,293.46,355.53586
2023-03-13,80.64,142.00356
2023-03-14,302.4,372.8804
2023-03-15,303.52,369.03326
2023-03-16,244.72,305.50623
2023-03-17,206.64,265.69028
2023-03-18,183.68001,243.43188
2023-03-19,184.79999,247.08757
2023-03-20,45.920002,101.86792
2023-03-21,229.6,290.80594
2023-03-22,239.12,296.17624
2023-03-23,236.88,290.73065
2023-03-24,175.28,225.32047
2023-03-25,165.76,213.98692
2023-03-26,155.68001,210.40887
2023-03-27,38.22,90.422485
2023-03-28,154.44,212.63763
2023-03-29,140.4,203.27
2023-03-30,121.28999,176.35153
2023-03-31,135.72,181.10344
2023-04-01,92.04,140.16513
2023-04-02,98.28,158.36893
2023-04-03,41.73,86.755844
2023-04-04,169.26001,205.61446
2023-04-05,159.9,201.08134
2023-04-06,127.13999,170.67473
2023-04-07,120.9,166.12521
2023-04-08,80.729996,131.971
2023-04-09,100.62,145.12102
2023-04-10,28.08,70.19081
2023-04-11,98.28,157.70224
2023-04-12,109.200005,155.86418
2023-04-13,93.340004,137.9826
2023-04-14,94.12,138.47224
2023-04-15,77.74,119.97897
2023-04-16,79.3,128.2871
2023-04-17,32.5,67.435
2023-04-18,107.9,149.2619
2023-04-19,113.62,150.51654
2023-04-20,105.3,130.08163
2023-04-21,99.84,129.21608
2023-04-22,101.920006,121.31909
2023-04-23,95.68,121.67784
2023-04-24,23.94,60.09338
2023-04-25,92.340004,122.82052
2023-04-26,101.84,131.37624
2023-04-27,92.53,121.37838
2023-04-28,96.9,114.69913
2023-04-29,106.020004,114.49054
2023-04-30,99.37,124.68481
2023-05-01,34.960003,82.55102
2023-05-02,136.61,129.17029
2023-05-03,144.21,135.79477
2023-05-04,147.25,130.44107
