stdDay,22D_origin,22D_Predicted
2023-02-19,62.639996,62.604504
2023-02-20,33.84,33.727776
2023-02-21,68.4,68.340195
2023-02-22,69.840004,69.85128
2023-02-23,64.799995,64.83754
2023-02-24,59.760002,59.727894
2023-02-25,55.44,55.39971
2023-02-26,52.559998,52.480305
2023-02-27,18.76,18.551378
2023-02-28,39.53,39.6286
2023-03-01,70.35,70.21062
2023-03-02,39.53,39.410355
2023-03-03,57.620003,57.49801
2023-03-04,52.93,52.70823
2023-03-05,43.55,43.41744
2023-03-06,0,-0.078842565
2023-03-07,110.55,109.82283
2023-03-08,72.36,72.259865
2023-03-09,66.33,66.090034
2023-03-10,59.629997,59.443733
2023-03-11,73.03,72.96361
2023-03-12,70.35,69.97986
2023-03-13,26.32,26.209019
2023-03-14,71.119995,71.05299
2023-03-15,70,69.93399
2023-03-16,48.16,48.22338
2023-03-17,48.16,48.116055
2023-03-18,61.04,61.10884
2023-03-19,55.44,55.365704
2023-03-20,16.8,16.862144
2023-03-21,85.119995,84.887886
2023-03-22,76.72,76.45811
2023-03-23,67.76,67.51626
2023-03-24,78.96,78.8965
2023-03-25,63.280003,63.223293
2023-03-26,61.6,61.514282
2023-03-27,25.74,25.207088
2023-03-28,62.79,62.860905
2023-03-29,57.72,57.730015
2023-03-30,47.19,46.658756
2023-03-31,53.82,53.554134
2023-04-01,42.9,42.74725
2023-04-02,50.7,50.570576
2023-04-03,17.16,17.113739
2023-04-04,67.86,67.590126
2023-04-05,56.94,56.76598
2023-04-06,48.75,48.80124
2023-04-07,46.800003,46.900745
2023-04-08,43.29,43.22512
2023-04-09,38.61,38.303288
2023-04-10,8.58,8.882819
2023-04-11,34.84,35.580822
2023-04-12,34.32,34.04188
2023-04-13,24.960001,24.761972
2023-04-14,26.26,26.113075
2023-04-15,30.16,30.097776
2023-04-16,28.34,29.504026
2023-04-17,13.78,13.711278
2023-04-18,41.34,40.869736
2023-04-19,38.48,38.334194
2023-04-20,30.94,30.917171
2023-04-21,31.72,31.637215
2023-04-22,30.68,30.43552
2023-04-23,29.12,27.83556
2023-04-24,6.6499996,6.6198964
2023-04-25,26.599998,26.546362
2023-04-26,22.99,22.93533
2023-04-27,18.24,18.188345
2023-04-28,19.38,24.052519
2023-04-29,14.25,24.055088
2023-04-30,18.24,31.107859
2023-05-01,8.74,7.606227
2023-05-02,23.560001,41.719997
2023-05-03,28.88,34.733982
2023-05-04,25.46,31.649048
